state,period_id,transaction_count_difference,transaction_amount_difference,registered_users_difference,registered_merchants_difference
chandigarh,8085,0,0.0,0,0
chandigarh,8086,0,0.0,0,0
chandigarh,8087,0,9.5367431640625e-07,0,0
chandigarh,8088,0,-1.9073486328125e-06,0,0
chandigarh,8089,0,0.0,0,0
chandigarh,8090,0,0.0,0,0
chandigarh,8091,0,0.0,0,0
chandigarh,8092,0,0.0,0,0
chandigarh,8093,0,0.0,0,0
chandigarh,8094,0,0.0,0,0
chandigarh,8095,0,0.0,0,0
chandigarh,8096,0,0.0,0,0
chandigarh,8097,0,0.0,0,0
chandigarh,8098,0,0.0,0,0
chandigarh,8099,0,0.0,0,0
chandigarh,8100,0,0.0,0,0
chandigarh,8101,0,0.0,0,0
chandigarh,8102,0,0.0,0,0
chandigarh,8103,0,0.0,0,0
chandigarh,8104,0,0.0,0,0
chandigarh,8105,0,0.0,0,0
chhattisgarh,8072,0,3.5762786865234375e-05,0,0
chhattisgarh,8073,0,8.7738037109375e-05,0,0
chhattisgarh,8074,0,-0.0001583099365234375,0,0
chhattisgarh,8075,0,3.62396240234375e-05,0,0
chhattisgarh,8076,0,-0.00030517578125,0,0
chhattisgarh,8077,0,0.00011444091796875,0,0
chhattisgarh,8078,0,-0.0007476806640625,0,0
chhattisgarh,8079,0,0.00101470947265625,0,0
chhattisgarh,8080,0,0.0006561279296875,0,0
chhattisgarh,8081,0,0.00211334228515625,0,0
chhattisgarh,8082,0,-0.001251220703125,0,0
chhattisgarh,8083,0,0.0011444091796875,0,0
chhattisgarh,8084,0,0.000274658203125,0,0
chhattisgarh,8085,0,-0.001190185546875,0,0
chhattisgarh,8086,0,0.003021240234375,0,0
chhattisgarh,8087,0,-0.00543212890625,0,0
chhattisgarh,8088,0,0.00164794921875,0,0
chhattisgarh,8089,0,-0.001007080078125,0,0
chhattisgarh,8090,0,-0.002685546875,0,0
chhattisgarh,8091,0,-0.00823974609375,0,0
chhattisgarh,8092,0,-0.00531005859375,0,0
chhattisgarh,8093,0,-0.00030517578125,0,0
chhattisgarh,8094,0,0.00140380859375,0,0
chhattisgarh,8095,0,-0.00830078125,0,0
chhattisgarh,8096,0,-0.00341796875,0,0
chhattisgarh,8097,0,0.005615234375,0,0
chhattisgarh,8098,0,0.02288818359375,0,0
chhattisgarh,8099,0,0.0040283203125,0,0
chhattisgarh,8100,0,0.01806640625,0,0
chhattisgarh,8101,0,0.00390625,0,0
chhattisgarh,8102,0,-0.021484375,0,0
chhattisgarh,8103,0,-0.0106201171875,0,0
chhattisgarh,8104,0,-0.004150390625,0,0
chhattisgarh,8105,0,0.0069580078125,0,0
dadra & nagar haveli & daman & diu,8072,0,-8.940696716308594e-08,0,
dadra & nagar haveli & daman & diu,8073,0,-1.7881393432617188e-07,0,0
dadra & nagar haveli & daman & diu,8074,0,-2.980232238769531e-07,0,0
dadra & nagar haveli & daman & diu,8075,0,0.0,0,0
dadra & nagar haveli & daman & diu,8076,0,0.0,0,0
dadra & nagar haveli & daman & diu,8077,0,-2.384185791015625e-07,0,0
dadra & nagar haveli & daman & diu,8078,0,2.384185791015625e-07,0,0
dadra & nagar haveli & daman & diu,8079,0,-4.76837158203125e-07,0,0
dadra & nagar haveli & daman & diu,8080,0,0.0,0,0
dadra & nagar haveli & daman & diu,8081,0,-1.1920928955078125e-06,0,0
dadra & nagar haveli & daman & diu,8082,0,-1.430511474609375e-06,0,0
dadra & nagar haveli & daman & diu,8083,0,4.76837158203125e-07,0,0
dadra & nagar haveli & daman & diu,8084,0,-4.76837158203125e-07,0,0
