state,district,period_id,year,quarter,transactions,value_inr,registered_users,registered_merchants
bihar,,8096,2024,1,1086107837,1633842288997.5242,30849769,2272717
bihar,,8097,2024,2,1321734729,1878213500138.2026,32631512,2362109
bihar,,8098,2024,3,1354611186,1774925561306.6208,34194093,2458579
bihar,,8099,2024,4,1559808519,2092918508999.367,35663071,2553973
bihar,,8100,2025,1,1530666231,2084046921423.7925,37257833,2640021
bihar,,8101,2025,2,1793785807,2356277702190.085,38792069,2722198
bihar,,8102,2025,3,1804002017,2130102112192.274,40492727,2811281
bihar,,8103,2025,4,2022586363,2442715459709.96,42344157,2921494
bihar,,8104,2026,1,2098602814,2537338892793.637,43855409,2994241
bihar,,8105,2026,2,2289051873,2678141315406.1562,44813491,3076811
chandigarh,,8072,2018,1,223975,393507115.84811443,84504,
chandigarh,,8073,2018,2,319560,664062457.5527933,113150,2
chandigarh,,8074,2018,3,417919,971597704.0881219,141119,6
chandigarh,,8075,2018,4,603259,1354040230.1718202,175644,17
chandigarh,,8076,2019,1,876820,1678862941.0300002,207673,6750
chandigarh,,8077,2019,2,1081281,2214484682.804943,240155,15994
chandigarh,,8078,2019,3,1428205,2696336857.265588,268117,18880
chandigarh,,8079,2019,4,1663318,3246646185.7316084,292017,21146
chandigarh,,8080,2020,1,1776530,3334833902.532528,316683,24121
chandigarh,,8081,2020,2,1098495,2233114743.327046,341687,25176
chandigarh,,8082,2020,3,1787111,3631987949.8054485,368783,28162
chandigarh,,8083,2020,4,2610842,4860838678.860598,396747,31497
chandigarh,,8084,2021,1,3291014,5639239470.444478,420246,34879
chandigarh,,8085,2021,2,3336924,5688419002.539844,442163,37747
chandigarh,,8086,2021,3,4795459,7498822383.4005165,465065,39808
chandigarh,,8087,2021,4,5012587,7760737879.59054,487572,41069
chandigarh,,8088,2022,1,6026078,9061038154.153315,509170,42930
chandigarh,,8089,2022,2,7761882,10624481178.149662,529517,44644
chandigarh,,8090,2022,3,9175146,12189515329.976696,550651,46291
chandigarh,,8091,2022,4,9744704,12720512772.5428,569949,47980
chandigarh,,8092,2023,1,10182795,13320740709.154438,587987,47270
chandigarh,,8093,2023,2,12002645,15001734621.098116,605280,48825
chandigarh,,8094,2023,3,13514642,15978579212.550114,622265,49865
chandigarh,,8095,2023,4,13784981,16915170140.23735,639168,50833
chandigarh,,8096,2024,1,13667061,16541090390.048546,660057,52271
chandigarh,,8097,2024,2,16570280,18298504093.428207,682073,53545
chandigarh,,8098,2024,3,17830482,19398464952.299725,703169,54821
chandigarh,,8099,2024,4,18645893,20631840726.069115,721374,56177
chandigarh,,8100,2025,1,19931215,21239542165.21637,739749,57875
chandigarh,,8101,2025,2,20255468,21185658828.05371,757963,59143
chandigarh,,8102,2025,3,22149566,22397711070.192337,776162,60176
chandigarh,,8103,2025,4,22627910,23861736668.233253,794106,61497
chandigarh,,8104,2026,1,22820289,23784456763.001396,811491,62840
chandigarh,,8105,2026,2,25137055,25233291728.69225,829123,64346
chhattisgarh,,8072,2018,1,2308574,2600414470.835706,686395,10
chhattisgarh,,8073,2018,2,3380470,5020388075.196792,967619,17
chhattisgarh,,8074,2018,3,4512546,7219788715.082321,1229445,27
chhattisgarh,,8075,2018,4,6353226,10755271064.359688,1584333,828
chhattisgarh,,8076,2019,1,8806110,13924157587.499626,1925189,23858
chhattisgarh,,8077,2019,2,10141906,18246258174.340855,2212185,48515
chhattisgarh,,8078,2019,3,12460140,21416627955.839325,2488075,65116
chhattisgarh,,8079,2019,4,16357293,28463127103.098198,2780915,82700
chhattisgarh,,8080,2020,1,19093394,32590895619.612717,3094859,99397
chhattisgarh,,8081,2020,2,21009112,37624391296.12829,3484888,105658
chhattisgarh,,8082,2020,3,28282693,50717527358.68874,3897665,120657
chhattisgarh,,8083,2020,4,39804658,71088111288.6268,4302482,153533
chhattisgarh,,8084,2021,1,48630460,85037921799.0683,4682835,185878
chhattisgarh,,8085,2021,2,57474912,98787017765.85956,5078626,198995
chhattisgarh,,8086,2021,3,80717872,128856725337.29623,5517110,234841
chhattisgarh,,8087,2021,4,90986070,142897547581.29657,5951381,278371
chhattisgarh,,8088,2022,1,118651612,188186021689.86618,6380734,321437
chhattisgarh,,8089,2022,2,143649650,217141086234.92676,6782654,353970
chhattisgarh,,8090,2022,3,168777635,232335130975.735,7211969,390945
chhattisgarh,,8091,2022,4,192641774,267162792319.1936,7618238,425290
chhattisgarh,,8092,2023,1,214685457,299544060546.12585,8004123,443733
chhattisgarh,,8093,2023,2,250168113,331458751118.9755,8375641,457643
chhattisgarh,,8094,2023,3,283570782,349234131102.0796,8766380,476302
chhattisgarh,,8095,2023,4,322561838,404263598492.0149,9160798,494172
chhattisgarh,,8096,2024,1,366651062,463030150974.65735,9676480,518348
chhattisgarh,,8097,2024,2,412497773,495339525982.10114,10160209,542535
chhattisgarh,,8098,2024,3,443141845,495927695118.55237,10587536,566499
chhattisgarh,,8099,2024,4,500033921,575372077008.4672,10962228,593346
chhattisgarh,,8100,2025,1,498714795,585636844581.983,11341270,617762
chhattisgarh,,8101,2025,2,530238048,584957150370.3911,11716582,639801
chhattisgarh,,8102,2025,3,567750078,579430366109.4929,12105416,662495
chhattisgarh,,8103,2025,4,605701118,639303988608.5961,12478219,687021
chhattisgarh,,8104,2026,1,625441700,681983078745.7452,12825130,701882
chhattisgarh,,8105,2026,2,646201571,678401352461.2666,13192734,715816
dadra & nagar haveli & daman & diu,,8072,2018,1,175749,203738508.32623297,46505,
dadra & nagar haveli & daman & diu,,8073,2018,2,233330,339720413.4266238,62632,1
dadra & nagar haveli & daman & diu,,8074,2018,3,327117,494728286.08063436,79851,5
dadra & nagar haveli & daman & diu,,8075,2018,4,460719,718948346.7433174,101702,9
dadra & nagar haveli & daman & diu,,8076,2019,1,765460,972578611.6164718,122413,139
dadra & nagar haveli & daman & diu,,8077,2019,2,660479,1087297036.7210982,139004,1779
dadra & nagar haveli & daman & diu,,8078,2019,3,754087,1278812027.1439939,155873,3393
dadra & nagar haveli & daman & diu,,8079,2019,4,916877,1615369595.516838,174634,4426
dadra & nagar haveli & daman & diu,,8080,2020,1,1059367,1783068099.6136131,193453,5118
dadra & nagar haveli & daman & diu,,8081,2020,2,1128692,1665874471.905149,217392,5435
dadra & nagar haveli & daman & diu,,8082,2020,3,1381590,2246553945.8118267,239161,7224
dadra & nagar haveli & daman & diu,,8083,2020,4,2074476,3117756826.203451,264058,9628
dadra & nagar haveli & daman & diu,,8084,2021,1,2468208,3719731952.6275053,284780,11346
dadra & nagar haveli & daman & diu,,8085,2021,2,2814882,4058213192.3616095,304287,11960
dadra & nagar haveli & daman & diu,,8086,2021,3,4130800,5487801996.985148,326668,13043
dadra & nagar haveli & daman & diu,,8087,2021,4,4718714,6073199177.991066,349265,14300
dadra & nagar haveli & daman & diu,,8088,2022,1,6099780,7630083652.340666,369790,15792
dadra & nagar haveli & daman & diu,,8089,2022,2,7431344,8548899697.35703,390083,16607
dadra & nagar haveli & daman & diu,,8090,2022,3,9167713,10016928620.567108,410533,17115
dadra & nagar haveli & daman & diu,,8091,2022,4,10667542,11210383267.660694,431261,17526
dadra & nagar haveli & daman & diu,,8092,2023,1,11627938,12184562485.612377,449889,17162
dadra & nagar haveli & daman & diu,,8093,2023,2,13139339,13293978308.32088,467310,17453
dadra & nagar haveli & daman & diu,,8094,2023,3,14946369,14582297017.60117,484521,18026
dadra & nagar haveli & daman & diu,,8095,2023,4,17850712,16983535180.430668,502992,18911
dadra & nagar haveli & daman & diu,,8096,2024,1,20353556,18765466590.83841,522738,20267
dadra & nagar haveli & daman & diu,,8097,2024,2,22527545,19470526075.93761,542235,21337
dadra & nagar haveli & daman & diu,,8098,2024,3,24452181,20598707213.18743,560853,22497
dadra & nagar haveli & daman & diu,,8099,2024,4,27354023,22905248328.83792,579259,23494
dadra & nagar haveli & daman & diu,,8100,2025,1,27107809,22346971352.215958,597015,24269
dadra & nagar haveli & daman & diu,,8101,2025,2,28225351,23146137014.55257,613335,24909
dadra & nagar haveli & daman & diu,,8102,2025,3,31444001,24673354040.591118,630853,25741
dadra & nagar haveli & daman & diu,,8103,2025,4,32546677,26195111187.06368,647249,26635
dadra & nagar haveli & daman & diu,,8104,2026,1,33719156,26943767275.15291,661947,27377
dadra & nagar haveli & daman & diu,,8105,2026,2,33036223,26552512651.741745,685445,27992
delhi,,8072,2018,1,4861388,8271371793.392628,1954765,35
delhi,,8073,2018,2,6889986,13364589444.285055,2581867,1582
delhi,,8074,2018,3,12574966,19957898704.19008,3271387,20830
delhi,,8075,2018,4,24850974,31024643827.81318,4336314,122312
delhi,,8076,2019,1,36894345,44300658315.162735,5182927,291072
delhi,,8077,2019,2,43013774,58968863487.081665,5845734,377636
delhi,,8078,2019,3,55742193,76468995159.52313,6463153,457771
delhi,,8079,2019,4,62548835,93652030961.80515,6975942,535746
delhi,,8080,2020,1,64918068,101297919304.47128,7506500,620971
delhi,,8081,2020,2,52441310,81000333616.01228,8071753,662128
delhi,,8082,2020,3,73862510,129779470523.62761,8702719,806650
delhi,,8083,2020,4,101260942,177739597368.565,9361847,956264
delhi,,8084,2021,1,120153276,205668430518.44977,9968730,1076714
delhi,,8085,2021,2,121471283,202501475643.4478,10538375,1126168
delhi,,8086,2021,3,172751582,288115773262.44116,11160288,1228686
delhi,,8087,2021,4,180172118,312145482478.9022,11796958,1313333
delhi,,8088,2022,1,223152158,376375724015.03375,12414526,1422784
delhi,,8089,2022,2,280662698,443015534922.1724,12974749,1511233
delhi,,8090,2022,3,336144494,507114703182.28174,13539000,1557751
delhi,,8091,2022,4,365023307,556037697335.6055,14081903,1593056
delhi,,8092,2023,1,408284405,611515329918.7366,14595060,1500599
delhi,,8093,2023,2,479877785,661524275756.0029,15072030,1518643
delhi,,8094,2023,3,544463265,707384902988.8572,15541397,1545075
delhi,,8095,2023,4,595978737,800033234390.3937,16011335,1569273
delhi,,8096,2024,1,648689028,833026878275.8525,16600851,1610556
delhi,,8097,2024,2,774314356,895745968493.4221,17177363,1648369
delhi,,8098,2024,3,844711512,960894810351.4745,17734636,1677600
delhi,,8099,2024,4,910091437,1058824541586.6793,18256126,1707724
delhi,,8100,2025,1,946994561,1075695710049.5652,18767127,1736526
delhi,,8101,2025,2,988353361,1059397596251.9786,19263783,1766050
delhi,,8102,2025,3,1069317276,1110313539978.9946,19764135,1796474
delhi,,8103,2025,4,1087983371,1170618652301.9897,20229290,1835425
delhi,,8104,2026,1,1087780733,1157725625834.733,20688029,1864615
delhi,,8105,2026,2,1171904826,1176560966476.9006,21250201,1893905
goa,,8072,2018,1,183383,349066357.90028584,97236,
goa,,8073,2018,2,257510,535602446.42051774,128359,1
goa,,8074,2018,3,376513,784750606.0741248,160129,4
goa,,8075,2018,4,579647,1267443769.8483543,204229,231
