state,district,year,quarter,period_id,registered_users
andhra pradesh,dr br ambedkar konaseema,2019,2,8077,198455
andhra pradesh,dr br ambedkar konaseema,2019,3,8078,223866
andhra pradesh,dr br ambedkar konaseema,2019,4,8079,255452
andhra pradesh,dr br ambedkar konaseema,2020,1,8080,288241
andhra pradesh,dr br ambedkar konaseema,2020,2,8081,320573
andhra pradesh,dr br ambedkar konaseema,2020,3,8082,355775
andhra pradesh,dr br ambedkar konaseema,2020,4,8083,391706
andhra pradesh,dr br ambedkar konaseema,2021,1,8084,421431
andhra pradesh,dr br ambedkar konaseema,2021,2,8085,450459
andhra pradesh,dr br ambedkar konaseema,2021,3,8086,481351
andhra pradesh,dr br ambedkar konaseema,2021,4,8087,511078
andhra pradesh,dr br ambedkar konaseema,2022,1,8088,537936
andhra pradesh,dr br ambedkar konaseema,2022,2,8089,563673
andhra pradesh,dr br ambedkar konaseema,2022,3,8090,591648
andhra pradesh,dr br ambedkar konaseema,2022,4,8091,618288
andhra pradesh,dr br ambedkar konaseema,2023,1,8092,642155
andhra pradesh,dr br ambedkar konaseema,2023,2,8093,664562
andhra pradesh,dr br ambedkar konaseema,2023,3,8094,687916
andhra pradesh,dr br ambedkar konaseema,2023,4,8095,708572
andhra pradesh,dr br ambedkar konaseema,2024,1,8096,731603
andhra pradesh,dr br ambedkar konaseema,2024,2,8097,755473
andhra pradesh,dr br ambedkar konaseema,2024,3,8098,778518
andhra pradesh,dr br ambedkar konaseema,2024,4,8099,804838
andhra pradesh,dr br ambedkar konaseema,2025,1,8100,828114
andhra pradesh,dr br ambedkar konaseema,2025,2,8101,852271
andhra pradesh,dr br ambedkar konaseema,2025,3,8102,877463
andhra pradesh,dr br ambedkar konaseema,2025,4,8103,899519
andhra pradesh,dr br ambedkar konaseema,2026,1,8104,919295
andhra pradesh,dr br ambedkar konaseema,2026,2,8105,930577
andhra pradesh,east godavari,2018,1,8072,118288
andhra pradesh,east godavari,2018,2,8073,155394
andhra pradesh,east godavari,2018,3,8074,190991
andhra pradesh,east godavari,2018,4,8075,237134
andhra pradesh,east godavari,2019,1,8076,286322
andhra pradesh,east godavari,2019,2,8077,323164
andhra pradesh,east godavari,2019,3,8078,361904
andhra pradesh,east godavari,2019,4,8079,407311
andhra pradesh,east godavari,2020,1,8080,452793
andhra pradesh,east godavari,2020,2,8081,497827
andhra pradesh,east godavari,2020,3,8082,548516
andhra pradesh,east godavari,2020,4,8083,599403
andhra pradesh,east godavari,2021,1,8084,641775
andhra pradesh,east godavari,2021,2,8085,682702
andhra pradesh,east godavari,2021,3,8086,725789
andhra pradesh,east godavari,2021,4,8087,767459
andhra pradesh,east godavari,2022,1,8088,805707
andhra pradesh,east godavari,2022,2,8089,844061
andhra pradesh,east godavari,2022,3,8090,882537
andhra pradesh,east godavari,2022,4,8091,919762
andhra pradesh,east godavari,2023,1,8092,952805
andhra pradesh,east godavari,2023,2,8093,984362
andhra pradesh,east godavari,2023,3,8094,1016505
andhra pradesh,east godavari,2023,4,8095,1044173
andhra pradesh,east godavari,2024,1,8096,1075319
andhra pradesh,east godavari,2024,2,8097,1108425
andhra pradesh,east godavari,2024,3,8098,1140679
andhra pradesh,east godavari,2024,4,8099,1177727
andhra pradesh,east godavari,2025,1,8100,1209987
andhra pradesh,east godavari,2025,2,8101,1244293
andhra pradesh,east godavari,2025,3,8102,1280969
andhra pradesh,east godavari,2025,4,8103,1312292
andhra pradesh,east godavari,2026,1,8104,1339657
andhra pradesh,east godavari,2026,2,8105,1370485
andhra pradesh,eluru,2018,1,8072,90788
andhra pradesh,eluru,2018,2,8073,122188
andhra pradesh,eluru,2018,3,8074,151416
andhra pradesh,eluru,2018,4,8075,190185
andhra pradesh,eluru,2019,1,8076,229158
andhra pradesh,eluru,2019,2,8077,261253
andhra pradesh,eluru,2019,3,8078,294453
andhra pradesh,eluru,2019,4,8079,334911
andhra pradesh,eluru,2020,1,8080,377625
andhra pradesh,eluru,2020,2,8081,423552
andhra pradesh,eluru,2020,3,8082,472388
andhra pradesh,eluru,2020,4,8083,520825
andhra pradesh,eluru,2021,1,8084,561259
andhra pradesh,eluru,2021,2,8085,602156
andhra pradesh,eluru,2021,3,8086,644405
andhra pradesh,eluru,2021,4,8087,684359
andhra pradesh,eluru,2022,1,8088,721068
andhra pradesh,eluru,2022,2,8089,758989
andhra pradesh,eluru,2022,3,8090,796067
andhra pradesh,eluru,2022,4,8091,831626
andhra pradesh,eluru,2023,1,8092,863508
andhra pradesh,eluru,2023,2,8093,895556
andhra pradesh,eluru,2023,3,8094,927606
andhra pradesh,eluru,2023,4,8095,955652
andhra pradesh,eluru,2024,1,8096,987953
andhra pradesh,eluru,2024,2,8097,1023607
andhra pradesh,eluru,2024,3,8098,1056072
andhra pradesh,eluru,2024,4,8099,1091472
andhra pradesh,eluru,2025,1,8100,1123570
andhra pradesh,eluru,2025,2,8101,1158032
andhra pradesh,eluru,2025,3,8102,1196105
andhra pradesh,eluru,2025,4,8103,1227893
andhra pradesh,eluru,2026,1,8104,1255721
andhra pradesh,eluru,2026,2,8105,1279217
andhra pradesh,guntur,2018,1,8072,169547
andhra pradesh,guntur,2018,2,8073,224071
andhra pradesh,guntur,2018,3,8074,275423
andhra pradesh,guntur,2018,4,8075,350103
andhra pradesh,guntur,2019,1,8076,425230
andhra pradesh,guntur,2019,2,8077,484130
andhra pradesh,guntur,2019,3,8078,544505
andhra pradesh,guntur,2019,4,8079,611911
andhra pradesh,guntur,2020,1,8080,678211
andhra pradesh,guntur,2020,2,8081,745832
andhra pradesh,guntur,2020,3,8082,815819
andhra pradesh,guntur,2020,4,8083,886854
andhra pradesh,guntur,2021,1,8084,947072
andhra pradesh,guntur,2021,2,8085,1006607
andhra pradesh,guntur,2021,3,8086,1068299
andhra pradesh,guntur,2021,4,8087,1128014
andhra pradesh,guntur,2022,1,8088,1182972
andhra pradesh,guntur,2022,2,8089,1236601
andhra pradesh,guntur,2022,3,8090,1290114
andhra pradesh,guntur,2022,4,8091,1342557
andhra pradesh,guntur,2023,1,8092,1389033
andhra pradesh,guntur,2023,2,8093,1434654
andhra pradesh,guntur,2023,3,8094,1481592
andhra pradesh,guntur,2023,4,8095,1521328
andhra pradesh,guntur,2024,1,8096,1563419
andhra pradesh,guntur,2024,2,8097,1609511
andhra pradesh,guntur,2024,3,8098,1655521
andhra pradesh,guntur,2024,4,8099,1708215
andhra pradesh,guntur,2025,1,8100,1755314
andhra pradesh,guntur,2025,2,8101,1805863
andhra pradesh,guntur,2025,3,8102,1863157
andhra pradesh,guntur,2025,4,8103,1909241
andhra pradesh,guntur,2026,1,8104,1949876
andhra pradesh,guntur,2026,2,8105,2002926
andhra pradesh,kakinada,2018,1,8072,140625
andhra pradesh,kakinada,2018,2,8073,182084
andhra pradesh,kakinada,2018,3,8074,222465
andhra pradesh,kakinada,2018,4,8075,278236
andhra pradesh,kakinada,2019,1,8076,335296
andhra pradesh,kakinada,2019,2,8077,376333
andhra pradesh,kakinada,2019,3,8078,420227
andhra pradesh,kakinada,2019,4,8079,473665
andhra pradesh,kakinada,2020,1,8080,524043
andhra pradesh,kakinada,2020,2,8081,571563
andhra pradesh,kakinada,2020,3,8082,624418
andhra pradesh,kakinada,2020,4,8083,677655
andhra pradesh,kakinada,2021,1,8084,723509
andhra pradesh,kakinada,2021,2,8085,767127
andhra pradesh,kakinada,2021,3,8086,812766
andhra pradesh,kakinada,2021,4,8087,857632
andhra pradesh,kakinada,2022,1,8088,898600
andhra pradesh,kakinada,2022,2,8089,939072
andhra pradesh,kakinada,2022,3,8090,979297
andhra pradesh,kakinada,2022,4,8091,1018987
andhra pradesh,kakinada,2023,1,8092,1054580
andhra pradesh,kakinada,2023,2,8093,1088731
andhra pradesh,kakinada,2023,3,8094,1123334
andhra pradesh,kakinada,2023,4,8095,1153021
andhra pradesh,kakinada,2024,1,8096,1187702
andhra pradesh,kakinada,2024,2,8097,1224431
andhra pradesh,kakinada,2024,3,8098,1260022
andhra pradesh,kakinada,2024,4,8099,1301077
andhra pradesh,kakinada,2025,1,8100,1337352
andhra pradesh,kakinada,2025,2,8101,1375819
andhra pradesh,kakinada,2025,3,8102,1416126
andhra pradesh,kakinada,2025,4,8103,1451266
andhra pradesh,kakinada,2026,1,8104,1481623
andhra pradesh,kakinada,2026,2,8105,1518007
andhra pradesh,krishna,2018,1,8072,68198
andhra pradesh,krishna,2018,2,8073,91712
andhra pradesh,krishna,2018,3,8074,114607
andhra pradesh,krishna,2018,4,8075,147305
andhra pradesh,krishna,2019,1,8076,179642
andhra pradesh,krishna,2019,2,8077,206088
andhra pradesh,krishna,2019,3,8078,233159
