state,year,quarter,period_id,registered_merchants
goa,2024,3,8098,31250
goa,2024,4,8099,32281
goa,2025,1,8100,33494
goa,2025,2,8101,34446
goa,2025,3,8102,35183
goa,2025,4,8103,35734
goa,2026,1,8104,36079
goa,2026,2,8105,36404
gujarat,2018,1,8072,23
gujarat,2018,2,8073,112
gujarat,2018,3,8074,274
gujarat,2018,4,8075,1087
gujarat,2019,1,8076,50733
gujarat,2019,2,8077,218360
gujarat,2019,3,8078,379073
gujarat,2019,4,8079,479820
gujarat,2020,1,8080,575783
gujarat,2020,2,8081,623195
gujarat,2020,3,8082,757523
gujarat,2020,4,8083,915535
gujarat,2021,1,8084,1057340
gujarat,2021,2,8085,1139225
gujarat,2021,3,8086,1237105
gujarat,2021,4,8087,1293971
gujarat,2022,1,8088,1418981
gujarat,2022,2,8089,1508860
gujarat,2022,3,8090,1575338
gujarat,2022,4,8091,1624532
gujarat,2023,1,8092,1582606
gujarat,2023,2,8093,1606526
gujarat,2023,3,8094,1639176
gujarat,2023,4,8095,1672361
gujarat,2024,1,8096,1734621
gujarat,2024,2,8097,1790863
gujarat,2024,3,8098,1845568
gujarat,2024,4,8099,1897442
gujarat,2025,1,8100,1942361
gujarat,2025,2,8101,1982430
gujarat,2025,3,8102,2020150
gujarat,2025,4,8103,2064443
gujarat,2026,1,8104,2100808
gujarat,2026,2,8105,2136458
haryana,2018,1,8072,4
haryana,2018,2,8073,168
haryana,2018,3,8074,3949
haryana,2018,4,8075,29642
haryana,2019,1,8076,120132
haryana,2019,2,8077,192408
haryana,2019,3,8078,260991
haryana,2019,4,8079,318003
haryana,2020,1,8080,376341
haryana,2020,2,8081,404251
haryana,2020,3,8082,495270
haryana,2020,4,8083,596567
haryana,2021,1,8084,689584
haryana,2021,2,8085,752220
haryana,2021,3,8086,835658
haryana,2021,4,8087,918155
haryana,2022,1,8088,1026068
haryana,2022,2,8089,1106393
haryana,2022,3,8090,1171324
haryana,2022,4,8091,1231301
haryana,2023,1,8092,1205359
haryana,2023,2,8093,1231314
haryana,2023,3,8094,1272783
haryana,2023,4,8095,1309518
haryana,2024,1,8096,1349876
haryana,2024,2,8097,1395864
haryana,2024,3,8098,1436920
haryana,2024,4,8099,1480933
haryana,2025,1,8100,1522080
haryana,2025,2,8101,1559622
haryana,2025,3,8102,1596852
haryana,2025,4,8103,1643434
haryana,2026,1,8104,1672054
haryana,2026,2,8105,1706826
himachal pradesh,2018,2,8073,2
himachal pradesh,2018,3,8074,1
himachal pradesh,2018,4,8075,17
himachal pradesh,2019,1,8076,358
himachal pradesh,2019,2,8077,3990
himachal pradesh,2019,3,8078,7828
himachal pradesh,2019,4,8079,11892
himachal pradesh,2020,1,8080,14466
himachal pradesh,2020,2,8081,15575
himachal pradesh,2020,3,8082,18895
himachal pradesh,2020,4,8083,24496
himachal pradesh,2021,1,8084,31399
himachal pradesh,2021,2,8085,38403
himachal pradesh,2021,3,8086,50357
himachal pradesh,2021,4,8087,63178
himachal pradesh,2022,1,8088,75280
himachal pradesh,2022,2,8089,86078
himachal pradesh,2022,3,8090,94578
himachal pradesh,2022,4,8091,103146
himachal pradesh,2023,1,8092,105878
himachal pradesh,2023,2,8093,109661
himachal pradesh,2023,3,8094,113340
himachal pradesh,2023,4,8095,116857
himachal pradesh,2024,1,8096,120041
himachal pradesh,2024,2,8097,126235
himachal pradesh,2024,3,8098,130210
himachal pradesh,2024,4,8099,133259
himachal pradesh,2025,1,8100,136228
himachal pradesh,2025,2,8101,139315
himachal pradesh,2025,3,8102,142979
himachal pradesh,2025,4,8103,147497
himachal pradesh,2026,1,8104,150358
himachal pradesh,2026,2,8105,154191
jammu & kashmir,2018,1,8072,2
jammu & kashmir,2018,2,8073,2
jammu & kashmir,2018,3,8074,8
jammu & kashmir,2018,4,8075,21
jammu & kashmir,2019,1,8076,1545
jammu & kashmir,2019,2,8077,5604
jammu & kashmir,2019,3,8078,6323
jammu & kashmir,2019,4,8079,6435
jammu & kashmir,2020,1,8080,6711
jammu & kashmir,2020,2,8081,7274
jammu & kashmir,2020,3,8082,13647
jammu & kashmir,2020,4,8083,21742
jammu & kashmir,2021,1,8084,37358
jammu & kashmir,2021,2,8085,45615
jammu & kashmir,2021,3,8086,60539
jammu & kashmir,2021,4,8087,89313
jammu & kashmir,2022,1,8088,122511
jammu & kashmir,2022,2,8089,147683
jammu & kashmir,2022,3,8090,167970
jammu & kashmir,2022,4,8091,191336
jammu & kashmir,2023,1,8092,211380
jammu & kashmir,2023,2,8093,227949
jammu & kashmir,2023,3,8094,242043
jammu & kashmir,2023,4,8095,250758
jammu & kashmir,2024,1,8096,264241
jammu & kashmir,2024,2,8097,276715
jammu & kashmir,2024,3,8098,287841
jammu & kashmir,2024,4,8099,298282
jammu & kashmir,2025,1,8100,309405
jammu & kashmir,2025,2,8101,321443
jammu & kashmir,2025,3,8102,333554
jammu & kashmir,2025,4,8103,348390
jammu & kashmir,2026,1,8104,355982
jammu & kashmir,2026,2,8105,365134
jharkhand,2018,3,8074,16
jharkhand,2018,4,8075,227
jharkhand,2019,1,8076,39115
jharkhand,2019,2,8077,103275
jharkhand,2019,3,8078,147954
jharkhand,2019,4,8079,175728
jharkhand,2020,1,8080,208858
jharkhand,2020,2,8081,223796
jharkhand,2020,3,8082,268769
jharkhand,2020,4,8083,344805
jharkhand,2021,1,8084,414090
jharkhand,2021,2,8085,450674
jharkhand,2021,3,8086,512007
jharkhand,2021,4,8087,571098
jharkhand,2022,1,8088,638840
jharkhand,2022,2,8089,682752
jharkhand,2022,3,8090,717981
jharkhand,2022,4,8091,747878
jharkhand,2023,1,8092,732754
jharkhand,2023,2,8093,745398
jharkhand,2023,3,8094,766786
jharkhand,2023,4,8095,786962
jharkhand,2024,1,8096,810224
jharkhand,2024,2,8097,838391
jharkhand,2024,3,8098,866641
jharkhand,2024,4,8099,894994
jharkhand,2025,1,8100,920006
jharkhand,2025,2,8101,945687
jharkhand,2025,3,8102,973596
jharkhand,2025,4,8103,1007283
jharkhand,2026,1,8104,1030825
jharkhand,2026,2,8105,1055747
karnataka,2018,1,8072,11162
karnataka,2018,2,8073,18604
karnataka,2018,3,8074,65096
karnataka,2018,4,8075,230749
karnataka,2019,1,8076,386773
karnataka,2019,2,8077,596683
karnataka,2019,3,8078,786775
karnataka,2019,4,8079,938176
karnataka,2020,1,8080,1076061
karnataka,2020,2,8081,1155989
karnataka,2020,3,8082,1360600
karnataka,2020,4,8083,1559103
karnataka,2021,1,8084,1724839
karnataka,2021,2,8085,1777995
karnataka,2021,3,8086,1911755
karnataka,2021,4,8087,2036736
karnataka,2022,1,8088,2174104
karnataka,2022,2,8089,2291533
karnataka,2022,3,8090,2383894
karnataka,2022,4,8091,2456318
karnataka,2023,1,8092,2448968
karnataka,2023,2,8093,2486882
karnataka,2023,3,8094,2549956
karnataka,2023,4,8095,2616609
karnataka,2024,1,8096,2702444
karnataka,2024,2,8097,2776153
karnataka,2024,3,8098,2853759
karnataka,2024,4,8099,2925825
karnataka,2025,1,8100,2990287
karnataka,2025,2,8101,3049279
karnataka,2025,3,8102,3108462
karnataka,2025,4,8103,3182349
karnataka,2026,1,8104,3241683
karnataka,2026,2,8105,3305459
kerala,2018,1,8072,3
kerala,2018,2,8073,8
kerala,2018,3,8074,97
kerala,2018,4,8075,172
kerala,2019,1,8076,6922
kerala,2019,2,8077,36394
kerala,2019,3,8078,55423
kerala,2019,4,8079,69452
kerala,2020,1,8080,83256
kerala,2020,2,8081,91350
kerala,2020,3,8082,113135
kerala,2020,4,8083,168782
kerala,2021,1,8084,233096
kerala,2021,2,8085,257555
kerala,2021,3,8086,341400
kerala,2021,4,8087,474428
kerala,2022,1,8088,572466
kerala,2022,2,8089,632138
kerala,2022,3,8090,684116
kerala,2022,4,8091,727331
kerala,2023,1,8092,749862
kerala,2023,2,8093,763613
kerala,2023,3,8094,788966
kerala,2023,4,8095,817185
kerala,2024,1,8096,847785
kerala,2024,2,8097,876516
kerala,2024,3,8098,908337
kerala,2024,4,8099,940307
kerala,2025,1,8100,969176
kerala,2025,2,8101,995224
kerala,2025,3,8102,1020975
kerala,2025,4,8103,1050542
kerala,2026,1,8104,1070637
kerala,2026,2,8105,1091604
ladakh,2018,4,8075,3
ladakh,2019,1,8076,12
ladakh,2019,2,8077,30
ladakh,2019,3,8078,47
ladakh,2019,4,8079,64
ladakh,2020,1,8080,71
ladakh,2020,2,8081,79
ladakh,2020,3,8082,89
ladakh,2020,4,8083,109
ladakh,2021,1,8084,257
ladakh,2021,2,8085,504
ladakh,2021,3,8086,561
ladakh,2021,4,8087,612
ladakh,2022,1,8088,683
ladakh,2022,2,8089,785
ladakh,2022,3,8090,856
ladakh,2022,4,8091,891
ladakh,2023,1,8092,899
ladakh,2023,2,8093,922
ladakh,2023,3,8094,972
ladakh,2023,4,8095,1038
ladakh,2024,1,8096,1091
ladakh,2024,2,8097,1640
ladakh,2024,3,8098,2060
ladakh,2024,4,8099,2363
ladakh,2025,1,8100,2454
ladakh,2025,2,8101,2479
ladakh,2025,3,8102,2530
ladakh,2025,4,8103,2624
ladakh,2026,1,8104,2639
ladakh,2026,2,8105,2676
lakshadweep,2019,3,8078,1
lakshadweep,2019,4,8079,1
lakshadweep,2020,1,8080,2
lakshadweep,2020,2,8081,3
lakshadweep,2020,3,8082,4
lakshadweep,2020,4,8083,7
