state,period_id,category_minus_map_count
himachal pradesh,8077,0
himachal pradesh,8078,0
himachal pradesh,8079,0
himachal pradesh,8080,0
himachal pradesh,8081,0
himachal pradesh,8082,0
himachal pradesh,8083,0
himachal pradesh,8084,0
himachal pradesh,8085,0
himachal pradesh,8086,0
himachal pradesh,8087,0
himachal pradesh,8088,0
himachal pradesh,8089,0
himachal pradesh,8090,0
himachal pradesh,8091,0
himachal pradesh,8092,0
himachal pradesh,8093,0
himachal pradesh,8094,0
himachal pradesh,8095,0
himachal pradesh,8096,0
himachal pradesh,8097,0
himachal pradesh,8098,0
himachal pradesh,8099,0
himachal pradesh,8100,0
himachal pradesh,8101,0
himachal pradesh,8102,0
himachal pradesh,8103,0
himachal pradesh,8104,0
himachal pradesh,8105,0
jammu & kashmir,8072,0
jammu & kashmir,8073,0
jammu & kashmir,8074,0
jammu & kashmir,8075,0
jammu & kashmir,8076,0
jammu & kashmir,8077,0
jammu & kashmir,8078,0
jammu & kashmir,8079,0
jammu & kashmir,8080,0
jammu & kashmir,8081,0
jammu & kashmir,8082,0
jammu & kashmir,8083,0
jammu & kashmir,8084,0
jammu & kashmir,8085,0
jammu & kashmir,8086,0
jammu & kashmir,8087,0
jammu & kashmir,8088,0
jammu & kashmir,8089,0
jammu & kashmir,8090,0
jammu & kashmir,8091,0
jammu & kashmir,8092,0
jammu & kashmir,8093,0
jammu & kashmir,8094,0
jammu & kashmir,8095,0
jammu & kashmir,8096,0
jammu & kashmir,8097,0
jammu & kashmir,8098,0
jammu & kashmir,8099,0
jammu & kashmir,8100,0
jammu & kashmir,8101,0
jammu & kashmir,8102,0
jammu & kashmir,8103,0
jammu & kashmir,8104,0
jammu & kashmir,8105,0
jharkhand,8072,0
jharkhand,8073,0
jharkhand,8074,0
jharkhand,8075,0
jharkhand,8076,0
jharkhand,8077,0
jharkhand,8078,0
jharkhand,8079,0
jharkhand,8080,0
jharkhand,8081,0
jharkhand,8082,0
jharkhand,8083,0
jharkhand,8084,0
jharkhand,8085,0
jharkhand,8086,0
jharkhand,8087,0
jharkhand,8088,0
jharkhand,8089,0
jharkhand,8090,0
jharkhand,8091,0
jharkhand,8092,0
jharkhand,8093,0
jharkhand,8094,0
jharkhand,8095,0
jharkhand,8096,0
jharkhand,8097,0
jharkhand,8098,0
jharkhand,8099,0
jharkhand,8100,0
jharkhand,8101,0
jharkhand,8102,0
jharkhand,8103,0
jharkhand,8104,0
jharkhand,8105,0
karnataka,8072,0
karnataka,8073,0
karnataka,8074,0
karnataka,8075,0
karnataka,8076,0
karnataka,8077,0
karnataka,8078,0
karnataka,8079,0
karnataka,8080,0
karnataka,8081,0
karnataka,8082,0
karnataka,8083,0
karnataka,8084,0
karnataka,8085,0
karnataka,8086,0
karnataka,8087,0
karnataka,8088,0
karnataka,8089,0
karnataka,8090,0
karnataka,8091,0
karnataka,8092,0
karnataka,8093,0
karnataka,8094,0
karnataka,8095,0
karnataka,8096,0
karnataka,8097,0
karnataka,8098,0
karnataka,8099,0
karnataka,8100,0
karnataka,8101,0
karnataka,8102,0
karnataka,8103,0
karnataka,8104,0
karnataka,8105,0
kerala,8072,0
kerala,8073,0
kerala,8074,0
kerala,8075,0
kerala,8076,0
kerala,8077,0
kerala,8078,0
kerala,8079,0
kerala,8080,0
kerala,8081,0
kerala,8082,0
kerala,8083,0
kerala,8084,0
kerala,8085,0
kerala,8086,0
kerala,8087,0
kerala,8088,0
kerala,8089,0
kerala,8090,0
kerala,8091,0
kerala,8092,0
kerala,8093,0
kerala,8094,0
kerala,8095,0
kerala,8096,0
kerala,8097,0
kerala,8098,0
kerala,8099,0
kerala,8100,0
kerala,8101,0
kerala,8102,0
kerala,8103,0
kerala,8104,0
kerala,8105,0
ladakh,8072,0
ladakh,8073,0
ladakh,8074,0
ladakh,8075,0
ladakh,8076,0
ladakh,8077,0
ladakh,8078,0
ladakh,8079,0
ladakh,8080,0
ladakh,8081,0
ladakh,8082,0
ladakh,8083,0
ladakh,8084,0
ladakh,8085,0
ladakh,8086,0
ladakh,8087,0
ladakh,8088,0
ladakh,8089,0
ladakh,8090,0
ladakh,8091,0
ladakh,8092,0
ladakh,8093,0
ladakh,8094,0
ladakh,8095,0
ladakh,8096,0
ladakh,8097,0
ladakh,8098,0
ladakh,8099,0
ladakh,8100,0
ladakh,8101,0
ladakh,8102,0
ladakh,8103,0
ladakh,8104,0
ladakh,8105,0
lakshadweep,8072,0
lakshadweep,8073,0
lakshadweep,8074,0
lakshadweep,8075,0
lakshadweep,8076,0
lakshadweep,8077,0
lakshadweep,8078,0
lakshadweep,8079,0
lakshadweep,8080,0
lakshadweep,8081,0
lakshadweep,8082,0
lakshadweep,8083,0
lakshadweep,8084,0
lakshadweep,8085,0
lakshadweep,8086,0
lakshadweep,8087,0
lakshadweep,8088,0
lakshadweep,8089,0
lakshadweep,8090,0
lakshadweep,8091,0
lakshadweep,8092,0
lakshadweep,8093,0
lakshadweep,8094,0
lakshadweep,8095,0
lakshadweep,8096,0
lakshadweep,8097,0
lakshadweep,8098,0
lakshadweep,8099,0
lakshadweep,8100,0
lakshadweep,8101,0
lakshadweep,8102,0
lakshadweep,8103,0
lakshadweep,8104,0
lakshadweep,8105,0
madhya pradesh,8072,0
madhya pradesh,8073,0
madhya pradesh,8074,0
madhya pradesh,8075,0
madhya pradesh,8076,0
madhya pradesh,8077,0
madhya pradesh,8078,0
madhya pradesh,8079,0
madhya pradesh,8080,0
madhya pradesh,8081,0
madhya pradesh,8082,0
madhya pradesh,8083,0
madhya pradesh,8084,0
madhya pradesh,8085,0
madhya pradesh,8086,0
madhya pradesh,8087,0
madhya pradesh,8088,0
madhya pradesh,8089,0
madhya pradesh,8090,0
madhya pradesh,8091,0
madhya pradesh,8092,0
madhya pradesh,8093,0
madhya pradesh,8094,0
madhya pradesh,8095,0
madhya pradesh,8096,0
madhya pradesh,8097,0
madhya pradesh,8098,0
madhya pradesh,8099,0
madhya pradesh,8100,0
madhya pradesh,8101,0
madhya pradesh,8102,0
madhya pradesh,8103,0
madhya pradesh,8104,0
madhya pradesh,8105,0
maharashtra,8072,0
maharashtra,8073,0
maharashtra,8074,0
maharashtra,8075,0
maharashtra,8076,0
maharashtra,8077,0
maharashtra,8078,0
maharashtra,8079,0
maharashtra,8080,0
maharashtra,8081,0
maharashtra,8082,0
maharashtra,8083,0
