state,year,quarter,period_id,transaction_count,transaction_amount
chhattisgarh,2024,3,8098,443141845,495927695118.55237
chhattisgarh,2024,4,8099,500033921,575372077008.4672
chhattisgarh,2025,1,8100,498714795,585636844581.983
chhattisgarh,2025,2,8101,530238048,584957150370.3911
chhattisgarh,2025,3,8102,567750078,579430366109.4929
chhattisgarh,2025,4,8103,605701118,639303988608.5961
chhattisgarh,2026,1,8104,625441700,681983078745.7452
chhattisgarh,2026,2,8105,646201571,678401352461.2666
dadra & nagar haveli & daman & diu,2018,1,8072,175749,203738508.32623297
dadra & nagar haveli & daman & diu,2018,2,8073,233330,339720413.4266238
dadra & nagar haveli & daman & diu,2018,3,8074,327117,494728286.08063436
dadra & nagar haveli & daman & diu,2018,4,8075,460719,718948346.7433174
dadra & nagar haveli & daman & diu,2019,1,8076,765460,972578611.6164718
dadra & nagar haveli & daman & diu,2019,2,8077,660479,1087297036.7210982
dadra & nagar haveli & daman & diu,2019,3,8078,754087,1278812027.1439939
dadra & nagar haveli & daman & diu,2019,4,8079,916877,1615369595.516838
dadra & nagar haveli & daman & diu,2020,1,8080,1059367,1783068099.6136131
dadra & nagar haveli & daman & diu,2020,2,8081,1128692,1665874471.905149
dadra & nagar haveli & daman & diu,2020,3,8082,1381590,2246553945.8118267
dadra & nagar haveli & daman & diu,2020,4,8083,2074476,3117756826.203451
dadra & nagar haveli & daman & diu,2021,1,8084,2468208,3719731952.6275053
dadra & nagar haveli & daman & diu,2021,2,8085,2814882,4058213192.3616095
dadra & nagar haveli & daman & diu,2021,3,8086,4130800,5487801996.985148
dadra & nagar haveli & daman & diu,2021,4,8087,4718714,6073199177.991066
dadra & nagar haveli & daman & diu,2022,1,8088,6099780,7630083652.340666
dadra & nagar haveli & daman & diu,2022,2,8089,7431344,8548899697.35703
dadra & nagar haveli & daman & diu,2022,3,8090,9167713,10016928620.567108
dadra & nagar haveli & daman & diu,2022,4,8091,10667542,11210383267.660694
dadra & nagar haveli & daman & diu,2023,1,8092,11627938,12184562485.612377
dadra & nagar haveli & daman & diu,2023,2,8093,13139339,13293978308.32088
dadra & nagar haveli & daman & diu,2023,3,8094,14946369,14582297017.60117
dadra & nagar haveli & daman & diu,2023,4,8095,17850712,16983535180.430668
dadra & nagar haveli & daman & diu,2024,1,8096,20353556,18765466590.83841
dadra & nagar haveli & daman & diu,2024,2,8097,22527545,19470526075.93761
dadra & nagar haveli & daman & diu,2024,3,8098,24452181,20598707213.18743
dadra & nagar haveli & daman & diu,2024,4,8099,27354023,22905248328.83792
dadra & nagar haveli & daman & diu,2025,1,8100,27107809,22346971352.215958
dadra & nagar haveli & daman & diu,2025,2,8101,28225351,23146137014.55257
dadra & nagar haveli & daman & diu,2025,3,8102,31444001,24673354040.591118
dadra & nagar haveli & daman & diu,2025,4,8103,32546677,26195111187.06368
dadra & nagar haveli & daman & diu,2026,1,8104,33719156,26943767275.15291
dadra & nagar haveli & daman & diu,2026,2,8105,33036223,26552512651.741745
delhi,2018,1,8072,4861388,8271371793.392628
delhi,2018,2,8073,6889986,13364589444.285055
delhi,2018,3,8074,12574966,19957898704.19008
delhi,2018,4,8075,24850974,31024643827.81318
delhi,2019,1,8076,36894345,44300658315.162735
delhi,2019,2,8077,43013774,58968863487.081665
delhi,2019,3,8078,55742193,76468995159.52313
delhi,2019,4,8079,62548835,93652030961.80515
delhi,2020,1,8080,64918068,101297919304.47128
delhi,2020,2,8081,52441310,81000333616.01228
delhi,2020,3,8082,73862510,129779470523.62761
delhi,2020,4,8083,101260942,177739597368.565
delhi,2021,1,8084,120153276,205668430518.44977
delhi,2021,2,8085,121471283,202501475643.4478
delhi,2021,3,8086,172751582,288115773262.44116
delhi,2021,4,8087,180172118,312145482478.9022
delhi,2022,1,8088,223152158,376375724015.03375
delhi,2022,2,8089,280662698,443015534922.1724
delhi,2022,3,8090,336144494,507114703182.28174
delhi,2022,4,8091,365023307,556037697335.6055
delhi,2023,1,8092,408284405,611515329918.7366
delhi,2023,2,8093,479877785,661524275756.0029
delhi,2023,3,8094,544463265,707384902988.8572
delhi,2023,4,8095,595978737,800033234390.3937
delhi,2024,1,8096,648689028,833026878275.8525
delhi,2024,2,8097,774314356,895745968493.4221
delhi,2024,3,8098,844711512,960894810351.4745
delhi,2024,4,8099,910091437,1058824541586.6793
delhi,2025,1,8100,946994561,1075695710049.5652
delhi,2025,2,8101,988353361,1059397596251.9786
delhi,2025,3,8102,1069317276,1110313539978.9946
delhi,2025,4,8103,1087983371,1170618652301.9897
delhi,2026,1,8104,1087780733,1157725625834.733
delhi,2026,2,8105,1171904826,1176560966476.9006
goa,2018,1,8072,183383,349066357.90028584
goa,2018,2,8073,257510,535602446.42051774
goa,2018,3,8074,376513,784750606.0741248
goa,2018,4,8075,579647,1267443769.8483543
goa,2019,1,8076,869079,1729283766.1123345
goa,2019,2,8077,1066466,2165028896.673666
goa,2019,3,8078,1351959,2683370624.34643
goa,2019,4,8079,1901461,3915138021.176736
goa,2020,1,8080,2308644,4491991521.593598
goa,2020,2,8081,1740286,2715145069.5507383
goa,2020,3,8082,2133105,3765761100.712038
goa,2020,4,8083,4146283,7565195670.719751
goa,2021,1,8084,6169621,11178477599.490131
goa,2021,2,8085,5343431,8784725625.06963
goa,2021,3,8086,7417529,11618809271.817026
goa,2021,4,8087,11465988,18743523947.17128
goa,2022,1,8088,13928876,21935946828.799046
