state,year,quarter,period_id,registered_users
dadra & nagar haveli & daman & diu,2023,3,8094,484521
dadra & nagar haveli & daman & diu,2023,4,8095,502992
dadra & nagar haveli & daman & diu,2024,1,8096,522738
dadra & nagar haveli & daman & diu,2024,2,8097,542235
dadra & nagar haveli & daman & diu,2024,3,8098,560853
dadra & nagar haveli & daman & diu,2024,4,8099,579259
dadra & nagar haveli & daman & diu,2025,1,8100,597015
dadra & nagar haveli & daman & diu,2025,2,8101,613335
dadra & nagar haveli & daman & diu,2025,3,8102,630853
dadra & nagar haveli & daman & diu,2025,4,8103,647249
dadra & nagar haveli & daman & diu,2026,1,8104,661947
dadra & nagar haveli & daman & diu,2026,2,8105,685445
delhi,2018,1,8072,1954765
delhi,2018,2,8073,2581867
delhi,2018,3,8074,3271387
delhi,2018,4,8075,4336314
delhi,2019,1,8076,5182927
delhi,2019,2,8077,5845734
delhi,2019,3,8078,6463153
delhi,2019,4,8079,6975942
delhi,2020,1,8080,7506500
delhi,2020,2,8081,8071753
delhi,2020,3,8082,8702719
delhi,2020,4,8083,9361847
delhi,2021,1,8084,9968730
delhi,2021,2,8085,10538375
delhi,2021,3,8086,11160288
delhi,2021,4,8087,11796958
delhi,2022,1,8088,12414526
delhi,2022,2,8089,12974749
delhi,2022,3,8090,13539000
delhi,2022,4,8091,14081903
delhi,2023,1,8092,14595060
delhi,2023,2,8093,15072030
delhi,2023,3,8094,15541397
delhi,2023,4,8095,16011335
delhi,2024,1,8096,16600851
delhi,2024,2,8097,17177363
delhi,2024,3,8098,17734636
delhi,2024,4,8099,18256126
delhi,2025,1,8100,18767127
delhi,2025,2,8101,19263783
delhi,2025,3,8102,19764135
delhi,2025,4,8103,20229290
delhi,2026,1,8104,20688029
delhi,2026,2,8105,21250201
goa,2018,1,8072,97236
goa,2018,2,8073,128359
goa,2018,3,8074,160129
goa,2018,4,8075,204229
goa,2019,1,8076,248825
goa,2019,2,8077,290801
goa,2019,3,8078,331094
goa,2019,4,8079,370015
goa,2020,1,8080,410941
goa,2020,2,8081,451839
goa,2020,3,8082,499358
goa,2020,4,8083,553679
goa,2021,1,8084,596406
goa,2021,2,8085,634949
goa,2021,3,8086,677726
goa,2021,4,8087,720435
goa,2022,1,8088,759279
goa,2022,2,8089,796871
goa,2022,3,8090,835257
goa,2022,4,8091,871837
goa,2023,1,8092,904953
goa,2023,2,8093,935702
goa,2023,3,8094,967033
goa,2023,4,8095,1001527
goa,2024,1,8096,1039130
goa,2024,2,8097,1078255
goa,2024,3,8098,1117049
goa,2024,4,8099,1151724
goa,2025,1,8100,1185550
goa,2025,2,8101,1218114
goa,2025,3,8102,1252705
goa,2025,4,8103,1289056
goa,2026,1,8104,1325289
goa,2026,2,8105,1347940
gujarat,2018,1,8072,2813458
gujarat,2018,2,8073,3729318
gujarat,2018,3,8074,4601012
gujarat,2018,4,8075,5796205
gujarat,2019,1,8076,6920980
gujarat,2019,2,8077,7878532
gujarat,2019,3,8078,8815169
gujarat,2019,4,8079,9739656
gujarat,2020,1,8080,10722212
gujarat,2020,2,8081,11915415
gujarat,2020,3,8082,13038677
gujarat,2020,4,8083,14183614
gujarat,2021,1,8084,15212633
gujarat,2021,2,8085,16194721
gujarat,2021,3,8086,17323185
