state,district,year,quarter,period_id,transaction_count,transaction_amount,registered_users,registered_merchants
andhra pradesh,anakapalli,2019,3,8078,3323339,6216900503.471744,302431,13116
andhra pradesh,anakapalli,2019,4,8079,4739795,9261608692.486568,340599,15341
andhra pradesh,anakapalli,2020,1,8080,5838355,11907174035.544022,374200,16887
andhra pradesh,anakapalli,2020,2,8081,7439241,14425043713.047071,407071,18109
andhra pradesh,anakapalli,2020,3,8082,9997426,21550537453.715645,442909,21257
andhra pradesh,anakapalli,2020,4,8083,11738656,26397533985.84437,476305,25822
andhra pradesh,anakapalli,2021,1,8084,12816355,28753594757.662605,506214,28678
andhra pradesh,anakapalli,2021,2,8085,16262726,36817336890.32786,535124,30647
andhra pradesh,anakapalli,2021,3,8086,18957936,40063233053.83392,565128,32705
andhra pradesh,anakapalli,2021,4,8087,19300268,39853445962.06724,594966,34792
andhra pradesh,anakapalli,2022,1,8088,23605931,47944231208.85512,621299,37343
andhra pradesh,anakapalli,2022,2,8089,26541929,53506499895.45421,647428,38929
andhra pradesh,anakapalli,2022,3,8090,29349833,56366990322.85547,673433,40288
andhra pradesh,anakapalli,2022,4,8091,31201753,58221624630.1279,699291,41234
andhra pradesh,anakapalli,2023,1,8092,34790385,66006921892.28262,721967,41744
andhra pradesh,anakapalli,2023,2,8093,38714387,71969863493.27144,743427,42625
andhra pradesh,anakapalli,2023,3,8094,43391784,76882240636.66418,765861,43881
andhra pradesh,anakapalli,2023,4,8095,47282494,80991888381.42294,785354,46043
andhra pradesh,anakapalli,2024,1,8096,53968097,90924644370.48566,806984,48444
andhra pradesh,anakapalli,2024,2,8097,58622262,94255583561.78528,830075,50624
andhra pradesh,anakapalli,2024,3,8098,62443644,94798647821.97365,852434,52058
andhra pradesh,anakapalli,2024,4,8099,68708764,102068427069.42926,878163,53468
andhra pradesh,anakapalli,2025,1,8100,71666644,108372314153.3096,901378,54902
andhra pradesh,anakapalli,2025,2,8101,75494442,112737871747.37015,926020,55830
andhra pradesh,anakapalli,2025,3,8102,80430795,113571925116.59988,952317,56595
andhra pradesh,anakapalli,2025,4,8103,83997323,116864231445.30466,975493,57956
andhra pradesh,anakapalli,2026,1,8104,91693396,131407990533.52086,994246,59202
