state,district,year,quarter,period_id,transaction_count,transaction_amount
andaman & nicobar islands,north and middle andaman,2022,4,8091,156287,360014875.25529206
andaman & nicobar islands,north and middle andaman,2023,1,8092,169440,409858640.03638774
andaman & nicobar islands,north and middle andaman,2023,2,8093,203278,481346109.69705
andaman & nicobar islands,north and middle andaman,2023,3,8094,217009,513893931.4366778
andaman & nicobar islands,north and middle andaman,2023,4,8095,250039,561538834.3650012
andaman & nicobar islands,north and middle andaman,2024,1,8096,280960,619810451.0221279
andaman & nicobar islands,north and middle andaman,2024,2,8097,329894,697195645.0147521
andaman & nicobar islands,north and middle andaman,2024,3,8098,367086,723733031.5643303
andaman & nicobar islands,north and middle andaman,2024,4,8099,412987,760946675.6419404
andaman & nicobar islands,north and middle andaman,2025,1,8100,465796,852076523.6403015
andaman & nicobar islands,north and middle andaman,2025,2,8101,479878,845171998.6243606
andaman & nicobar islands,north and middle andaman,2025,3,8102,508199,826403999.3666801
andaman & nicobar islands,north and middle andaman,2025,4,8103,531089,858455975.546267
andaman & nicobar islands,north and middle andaman,2026,1,8104,592094,989711661.3057247
andaman & nicobar islands,north and middle andaman,2026,2,8105,632360,1018554643.5334857
andaman & nicobar islands,south andaman,2018,1,8072,7856,15963528.527271725
andaman & nicobar islands,south andaman,2018,2,8073,12505,30134503.87536049
andaman & nicobar islands,south andaman,2018,3,8074,17655,54092409.64111015
andaman & nicobar islands,south andaman,2018,4,8075,26512,90420984.26139997
andaman & nicobar islands,south andaman,2019,1,8076,34266,105942992.05286652
andaman & nicobar islands,south andaman,2019,2,8077,38594,138112792.58357844
andaman & nicobar islands,south andaman,2019,3,8078,32303,118485702.87763233
andaman & nicobar islands,south andaman,2019,4,8079,31582,134069114.05064559
andaman & nicobar islands,south andaman,2020,1,8080,37256,142858940.37021935
andaman & nicobar islands,south andaman,2020,2,8081,58888,147692524.2823298
andaman & nicobar islands,south andaman,2020,3,8082,115755,316290983.9233926
andaman & nicobar islands,south andaman,2020,4,8083,225909,604885203.456435
andaman & nicobar islands,south andaman,2021,1,8084,264309,809046310.8944216
andaman & nicobar islands,south andaman,2021,2,8085,376673,913110489.9326305
andaman & nicobar islands,south andaman,2021,3,8086,486039,1264593066.9854102
andaman & nicobar islands,south andaman,2021,4,8087,623101,1730059610.7300625
andaman & nicobar islands,south andaman,2022,1,8088,870912,2111247231.397351
andaman & nicobar islands,south andaman,2022,2,8089,1250648,2783890970.497587
andaman & nicobar islands,south andaman,2022,3,8090,1660476,3214668843.489352
andaman & nicobar islands,south andaman,2022,4,8091,2007262,3733794415.714377
andaman & nicobar islands,south andaman,2023,1,8092,2175865,4034862158.396229
andaman & nicobar islands,south andaman,2023,2,8093,2613370,4513171448.23246
andaman & nicobar islands,south andaman,2023,3,8094,2939635,4651123232.542769
andaman & nicobar islands,south andaman,2023,4,8095,3508682,5653309774.486908
andaman & nicobar islands,south andaman,2024,1,8096,3874282,6135770727.40441
andaman & nicobar islands,south andaman,2024,2,8097,4271742,6450947672.113669
andaman & nicobar islands,south andaman,2024,3,8098,4715525,6567783531.056631
andaman & nicobar islands,south andaman,2024,4,8099,5432911,7769560763.162052
andaman & nicobar islands,south andaman,2025,1,8100,5631610,7924108214.092497
andaman & nicobar islands,south andaman,2025,2,8101,5641663,7626317723.610066
andaman & nicobar islands,south andaman,2025,3,8102,5964985,7532357609.215437
andaman & nicobar islands,south andaman,2025,4,8103,6840092,9096405417.43564
andaman & nicobar islands,south andaman,2026,1,8104,7088684,9484503181.430897
andaman & nicobar islands,south andaman,2026,2,8105,6820738,8937260921.360214
andhra pradesh,alluri sitharama raju,2018,1,8072,38878,61657542.778356455
andhra pradesh,alluri sitharama raju,2018,2,8073,60718,116237831.07168221
andhra pradesh,alluri sitharama raju,2018,3,8074,91155,171025570.09331813
andhra pradesh,alluri sitharama raju,2018,4,8075,146847,312486236.30009973
andhra pradesh,alluri sitharama raju,2019,1,8076,231526,465260948.5413035
andhra pradesh,alluri sitharama raju,2019,2,8077,316481,726629181.4874219
andhra pradesh,alluri sitharama raju,2019,3,8078,401582,909837623.2716868
andhra pradesh,alluri sitharama raju,2019,4,8079,638039,1601730369.546769
andhra pradesh,alluri sitharama raju,2020,1,8080,829823,2205093472.1772757
andhra pradesh,alluri sitharama raju,2020,2,8081,1186627,3080002355.1839476
andhra pradesh,alluri sitharama raju,2020,3,8082,1552042,3998172631.195208
andhra pradesh,alluri sitharama raju,2020,4,8083,1969039,4962504959.376707
andhra pradesh,alluri sitharama raju,2021,1,8084,1992821,5345502865.060858
andhra pradesh,alluri sitharama raju,2021,2,8085,2516371,6680062059.590271
andhra pradesh,alluri sitharama raju,2021,3,8086,3199630,7281885264.724094
andhra pradesh,alluri sitharama raju,2021,4,8087,3564347,7496706575.92935
andhra pradesh,alluri sitharama raju,2022,1,8088,4170130,9308971026.022793
andhra pradesh,alluri sitharama raju,2022,2,8089,4708390,10265318397.462849
andhra pradesh,alluri sitharama raju,2022,3,8090,5379105,10667979849.05988
andhra pradesh,alluri sitharama raju,2022,4,8091,6764084,12752715832.096445
andhra pradesh,alluri sitharama raju,2023,1,8092,6981319,13771334989.364555
andhra pradesh,alluri sitharama raju,2023,2,8093,8051951,15222011827.880589
andhra pradesh,alluri sitharama raju,2023,3,8094,9386991,15677081697.537067
andhra pradesh,alluri sitharama raju,2023,4,8095,11235628,17836926431.765797
andhra pradesh,alluri sitharama raju,2024,1,8096,12047930,19503864875.390823
andhra pradesh,alluri sitharama raju,2024,2,8097,12883190,19885922389.56729
andhra pradesh,alluri sitharama raju,2024,3,8098,13037165,17687667730.191597
andhra pradesh,alluri sitharama raju,2024,4,8099,16288090,22028740453.91383
andhra pradesh,alluri sitharama raju,2025,1,8100,16919213,23991045543.852272
andhra pradesh,alluri sitharama raju,2025,2,8101,16249699,22359517927.455685
andhra pradesh,alluri sitharama raju,2025,3,8102,17682072,22093621619.233795
andhra pradesh,alluri sitharama raju,2025,4,8103,19787232,24651925533.73941
andhra pradesh,alluri sitharama raju,2026,1,8104,20991582,28683764783.166893
andhra pradesh,alluri sitharama raju,2026,2,8105,22403546,28684114124.232155
andhra pradesh,anakapalli,2018,1,8072,369336,417840032.3080977
andhra pradesh,anakapalli,2018,2,8073,488222,714746256.5126145
andhra pradesh,anakapalli,2018,3,8074,962760,1150773225.1552424
andhra pradesh,anakapalli,2018,4,8075,1216303,1771658490.099206
andhra pradesh,anakapalli,2019,1,8076,2371484,3272505355.51519
andhra pradesh,anakapalli,2019,2,8077,2621698,4998792480.484257
andhra pradesh,anakapalli,2019,3,8078,3323339,6216900503.471744
andhra pradesh,anakapalli,2019,4,8079,4739795,9261608692.486568
andhra pradesh,anakapalli,2020,1,8080,5838355,11907174035.544022
andhra pradesh,anakapalli,2020,2,8081,7439241,14425043713.047071
andhra pradesh,anakapalli,2020,3,8082,9997426,21550537453.715645
andhra pradesh,anakapalli,2020,4,8083,11738656,26397533985.84437
andhra pradesh,anakapalli,2021,1,8084,12816355,28753594757.662605
andhra pradesh,anakapalli,2021,2,8085,16262726,36817336890.32786
andhra pradesh,anakapalli,2021,3,8086,18957936,40063233053.83392
andhra pradesh,anakapalli,2021,4,8087,19300268,39853445962.06724
andhra pradesh,anakapalli,2022,1,8088,23605931,47944231208.85512
andhra pradesh,anakapalli,2022,2,8089,26541929,53506499895.45421
andhra pradesh,anakapalli,2022,3,8090,29349833,56366990322.85547
andhra pradesh,anakapalli,2022,4,8091,31201753,58221624630.1279
andhra pradesh,anakapalli,2023,1,8092,34790385,66006921892.28262
andhra pradesh,anakapalli,2023,2,8093,38714387,71969863493.27144
andhra pradesh,anakapalli,2023,3,8094,43391784,76882240636.66418
andhra pradesh,anakapalli,2023,4,8095,47282494,80991888381.42294
andhra pradesh,anakapalli,2024,1,8096,53968097,90924644370.48566
andhra pradesh,anakapalli,2024,2,8097,58622262,94255583561.78528
andhra pradesh,anakapalli,2024,3,8098,62443644,94798647821.97365
andhra pradesh,anakapalli,2024,4,8099,68708764,102068427069.42926
andhra pradesh,anakapalli,2025,1,8100,71666644,108372314153.3096
andhra pradesh,anakapalli,2025,2,8101,75494442,112737871747.37015
andhra pradesh,anakapalli,2025,3,8102,80430795,113571925116.59988
andhra pradesh,anakapalli,2025,4,8103,83997323,116864231445.30466
andhra pradesh,anakapalli,2026,1,8104,91693396,131407990533.52086
andhra pradesh,anakapalli,2026,2,8105,97152961,137194912578.20892
andhra pradesh,ananthapuramu,2018,1,8072,519650,629659116.465471
andhra pradesh,ananthapuramu,2018,2,8073,735610,1328289806.8045876
andhra pradesh,ananthapuramu,2018,3,8074,1443186,2066916673.2078447
andhra pradesh,ananthapuramu,2018,4,8075,1791542,3054048321.05402
andhra pradesh,ananthapuramu,2019,1,8076,3228901,4948648251.60415
andhra pradesh,ananthapuramu,2019,2,8077,3373619,7332650455.790795
andhra pradesh,ananthapuramu,2019,3,8078,4298762,9087001908.963615
andhra pradesh,ananthapuramu,2019,4,8079,5951769,13027173867.713295
andhra pradesh,ananthapuramu,2020,1,8080,7294702,16675096270.811436
andhra pradesh,ananthapuramu,2020,2,8081,8057810,19418440510.374275
andhra pradesh,ananthapuramu,2020,3,8082,11679197,30123420970.389664
andhra pradesh,ananthapuramu,2020,4,8083,15461127,38719899802.00595
andhra pradesh,ananthapuramu,2021,1,8084,16595471,40743924561.16626
andhra pradesh,ananthapuramu,2021,2,8085,21057300,52614323762.10712
andhra pradesh,ananthapuramu,2021,3,8086,25568844,59570939793.666016
andhra pradesh,ananthapuramu,2021,4,8087,26364698,58941460393.585205
andhra pradesh,ananthapuramu,2022,1,8088,33168908,73331469216.90088
andhra pradesh,ananthapuramu,2022,2,8089,37745097,82760963881.1185
andhra pradesh,ananthapuramu,2022,3,8090,43285476,91301145442.92174
andhra pradesh,ananthapuramu,2022,4,8091,46114169,94150942959.23898
andhra pradesh,ananthapuramu,2023,1,8092,50713530,102190116511.60172
andhra pradesh,ananthapuramu,2023,2,8093,56759923,113545877426.63348
andhra pradesh,ananthapuramu,2023,3,8094,65327732,121649778854.6745
andhra pradesh,ananthapuramu,2023,4,8095,71005920,128620561694.48537
andhra pradesh,ananthapuramu,2024,1,8096,77881728,134097495258.8226
andhra pradesh,ananthapuramu,2024,2,8097,84870983,141657878528.98196
andhra pradesh,ananthapuramu,2024,3,8098,91661636,143135747587.50778
andhra pradesh,ananthapuramu,2024,4,8099,100555237,152191976239.85037
andhra pradesh,ananthapuramu,2025,1,8100,108493610,164325986359.831
andhra pradesh,ananthapuramu,2025,2,8101,111821009,168849861506.38904
andhra pradesh,ananthapuramu,2025,3,8102,119699526,170192575255.2671
andhra pradesh,ananthapuramu,2025,4,8103,127054190,178495794357.15128
andhra pradesh,ananthapuramu,2026,1,8104,134752991,192433842365.95197
andhra pradesh,ananthapuramu,2026,2,8105,140056538,199801031290.9932
andhra pradesh,annamayya,2018,1,8072,272082,352585881.8967415
andhra pradesh,annamayya,2018,2,8073,390971,754575036.0313628
andhra pradesh,annamayya,2018,3,8074,733897,1137182874.4290473
andhra pradesh,annamayya,2018,4,8075,983317,1708028376.9476275
andhra pradesh,annamayya,2019,1,8076,1868058,2886388756.490636
andhra pradesh,annamayya,2019,2,8077,2189094,4615659229.490652
andhra pradesh,annamayya,2019,3,8078,2610263,5537682240.048909
andhra pradesh,annamayya,2019,4,8079,3730941,8111366200.032558
andhra pradesh,annamayya,2020,1,8080,4669813,10220426913.824389
andhra pradesh,annamayya,2020,2,8081,6066781,13495014364.422054
andhra pradesh,annamayya,2020,3,8082,8352795,21005277691.32086
andhra pradesh,annamayya,2020,4,8083,10314374,26372704911.02259
andhra pradesh,annamayya,2021,1,8084,11099120,27520313099.766273
andhra pradesh,annamayya,2021,2,8085,14726672,36690154390.8051
andhra pradesh,annamayya,2021,3,8086,17768216,42994208566.313286
andhra pradesh,annamayya,2021,4,8087,17898489,42017907201.74632
andhra pradesh,annamayya,2022,1,8088,22939579,53591082468.68349
andhra pradesh,annamayya,2022,2,8089,26261580,61464250825.852005
andhra pradesh,annamayya,2022,3,8090,29578509,68567945430.472984
andhra pradesh,annamayya,2022,4,8091,31177607,69509669274.3055
andhra pradesh,annamayya,2023,1,8092,34714776,75720862874.00305
andhra pradesh,annamayya,2023,2,8093,39599921,86619989200.26416
andhra pradesh,annamayya,2023,3,8094,44189235,93316717767.72585
andhra pradesh,annamayya,2023,4,8095,47928555,96419753737.24553
andhra pradesh,annamayya,2024,1,8096,52876870,101049672213.94292
andhra pradesh,annamayya,2024,2,8097,58485953,109240064606.89664
andhra pradesh,annamayya,2024,3,8098,62753215,112729529813.75063
andhra pradesh,annamayya,2024,4,8099,67468399,115691099569.48538
andhra pradesh,annamayya,2025,1,8100,72494539,120467564203.23538
andhra pradesh,annamayya,2025,2,8101,75644501,124792839592.68385
andhra pradesh,annamayya,2025,3,8102,80455272,128295920231.34462
andhra pradesh,annamayya,2025,4,8103,83839995,130610936079.34653
andhra pradesh,annamayya,2026,1,8104,90781521,142055350936.40396
andhra pradesh,annamayya,2026,2,8105,96492048,153851950124.24747
andhra pradesh,bapatla,2018,1,8072,229517,242988356.90388915
andhra pradesh,bapatla,2018,2,8073,299401,479262144.87631744
andhra pradesh,bapatla,2018,3,8074,426986,679980057.7808056
andhra pradesh,bapatla,2018,4,8075,677150,1034424941.1905072
andhra pradesh,bapatla,2019,1,8076,1243806,1711130282.7739277
andhra pradesh,bapatla,2019,2,8077,1286203,2493688003.7399354
andhra pradesh,bapatla,2019,3,8078,1432689,2926487498.331681
andhra pradesh,bapatla,2019,4,8079,2043598,4243343808.455758
andhra pradesh,bapatla,2020,1,8080,2662176,5773812974.40466
andhra pradesh,bapatla,2020,2,8081,3615164,7934519517.453887
andhra pradesh,bapatla,2020,3,8082,4928079,12188566570.212488
andhra pradesh,bapatla,2020,4,8083,6157484,15574208444.04879
andhra pradesh,bapatla,2021,1,8084,6777327,17036422658.583376
andhra pradesh,bapatla,2021,2,8085,9238117,23481021709.149586
andhra pradesh,bapatla,2021,3,8086,11092554,27135526074.43815
andhra pradesh,bapatla,2021,4,8087,11521970,27548350420.045963
andhra pradesh,bapatla,2022,1,8088,14768040,35475914630.69517
andhra pradesh,bapatla,2022,2,8089,17429587,40846402347.77646
andhra pradesh,bapatla,2022,3,8090,19745446,43978150389.262375
andhra pradesh,bapatla,2022,4,8091,21369719,45758592276.08678
andhra pradesh,bapatla,2023,1,8092,23849860,50991963682.84761
andhra pradesh,bapatla,2023,2,8093,27976201,57898503425.13078
andhra pradesh,bapatla,2023,3,8094,31529317,60823930169.7263
andhra pradesh,bapatla,2023,4,8095,34113263,63895148551.45857
andhra pradesh,bapatla,2024,1,8096,38082851,69016848910.18828
andhra pradesh,bapatla,2024,2,8097,43163841,74951923803.5917
andhra pradesh,bapatla,2024,3,8098,46034879,74194044124.31155
andhra pradesh,bapatla,2024,4,8099,50768885,79533690852.41502
andhra pradesh,bapatla,2025,1,8100,53420077,85125405297.1721
andhra pradesh,bapatla,2025,2,8101,57425662,88096110813.95103
andhra pradesh,bapatla,2025,3,8102,60133268,88034252414.63191
andhra pradesh,bapatla,2025,4,8103,63443545,92524924649.82959
andhra pradesh,bapatla,2026,1,8104,68137122,102063877842.64697
andhra pradesh,bapatla,2026,2,8105,74429207,109531301288.45459
andhra pradesh,chittoor,2018,1,8072,305531,348548227.2829588
andhra pradesh,chittoor,2018,2,8073,418565,652457572.096351
andhra pradesh,chittoor,2018,3,8074,715707,1040993519.6714927
andhra pradesh,chittoor,2018,4,8075,1053499,1591440675.8530421
andhra pradesh,chittoor,2019,1,8076,2080673,2712181636.150385
andhra pradesh,chittoor,2019,2,8077,2152205,4092866071.1552467
andhra pradesh,chittoor,2019,3,8078,2502532,5029987006.006824
andhra pradesh,chittoor,2019,4,8079,3594062,7110687747.503808
andhra pradesh,chittoor,2020,1,8080,4519618,9116779374.090832
andhra pradesh,chittoor,2020,2,8081,6159336,11890412846.712357
andhra pradesh,chittoor,2020,3,8082,8118971,17919094122.06436
andhra pradesh,chittoor,2020,4,8083,10257106,22579840856.015884
andhra pradesh,chittoor,2021,1,8084,10839846,23662611484.53707
andhra pradesh,chittoor,2021,2,8085,14262754,30953540305.671303
andhra pradesh,chittoor,2021,3,8086,16913631,36627482174.68804
andhra pradesh,chittoor,2021,4,8087,17409940,36009843768.26453
andhra pradesh,chittoor,2022,1,8088,22627161,46442554711.628685
andhra pradesh,chittoor,2022,2,8089,26421388,54011418909.15405
andhra pradesh,chittoor,2022,3,8090,29895775,60229771790.373505
andhra pradesh,chittoor,2022,4,8091,32085743,62189977338.80675
andhra pradesh,chittoor,2023,1,8092,35937809,68337589966.56085
andhra pradesh,chittoor,2023,2,8093,40709899,77137044812.03464
andhra pradesh,chittoor,2023,3,8094,44972627,82675053750.24768
andhra pradesh,chittoor,2023,4,8095,49341164,86369717998.04948
andhra pradesh,chittoor,2024,1,8096,54798676,92223086973.92352
andhra pradesh,chittoor,2024,2,8097,59454348,98923409271.55122
andhra pradesh,chittoor,2024,3,8098,65192721,104038143152.35315
andhra pradesh,chittoor,2024,4,8099,70708594,108380466539.57379
andhra pradesh,chittoor,2025,1,8100,74242897,112847835117.03088
andhra pradesh,chittoor,2025,2,8101,77471034,116200190979.6403
andhra pradesh,chittoor,2025,3,8102,80376085,118062216546.63785
andhra pradesh,chittoor,2025,4,8103,85272838,122474657948.22932
andhra pradesh,chittoor,2026,1,8104,91197763,132653914130.77025
andhra pradesh,chittoor,2026,2,8105,96240891,140514197718.7638
andhra pradesh,dr br ambedkar konaseema,2018,1,8072,261840,350670534.89525974
andhra pradesh,dr br ambedkar konaseema,2018,2,8073,331324,599846876.8311005
andhra pradesh,dr br ambedkar konaseema,2018,3,8074,655761,800009435.6345792
andhra pradesh,dr br ambedkar konaseema,2018,4,8075,719303,1122158281.4395673
andhra pradesh,dr br ambedkar konaseema,2019,1,8076,1280034,1837276637.1222653
andhra pradesh,dr br ambedkar konaseema,2019,2,8077,1221211,2544087499.9517417
andhra pradesh,dr br ambedkar konaseema,2019,3,8078,1487946,3064505439.157621
andhra pradesh,dr br ambedkar konaseema,2019,4,8079,2164534,4641348111.35831
andhra pradesh,dr br ambedkar konaseema,2020,1,8080,2908567,6523037173.968378
andhra pradesh,dr br ambedkar konaseema,2020,2,8081,3566314,7683667025.022438
andhra pradesh,dr br ambedkar konaseema,2020,3,8082,4951485,11679337874.631319
andhra pradesh,dr br ambedkar konaseema,2020,4,8083,6567183,16606074006.85472
andhra pradesh,dr br ambedkar konaseema,2021,1,8084,7350929,18654844851.30346
andhra pradesh,dr br ambedkar konaseema,2021,2,8085,9778173,24437519706.265564
andhra pradesh,dr br ambedkar konaseema,2021,3,8086,11909182,28974224744.997177
andhra pradesh,dr br ambedkar konaseema,2021,4,8087,12726025,29506273063.87443
andhra pradesh,dr br ambedkar konaseema,2022,1,8088,16469121,38845577421.159584
andhra pradesh,dr br ambedkar konaseema,2022,2,8089,17474134,41126693302.65209
andhra pradesh,dr br ambedkar konaseema,2022,3,8090,21302395,46548045708.14266
andhra pradesh,dr br ambedkar konaseema,2022,4,8091,23965453,49658066643.07578
andhra pradesh,dr br ambedkar konaseema,2023,1,8092,27073706,56782301134.604675
andhra pradesh,dr br ambedkar konaseema,2023,2,8093,30897890,61822407082.25244
andhra pradesh,dr br ambedkar konaseema,2023,3,8094,34709315,64306614228.99516
andhra pradesh,dr br ambedkar konaseema,2023,4,8095,38841546,71723466807.71777
andhra pradesh,dr br ambedkar konaseema,2024,1,8096,44055400,79428295306.29172
andhra pradesh,dr br ambedkar konaseema,2024,2,8097,47483715,81012309556.29579
andhra pradesh,dr br ambedkar konaseema,2024,3,8098,51818341,82545134636.91882
andhra pradesh,dr br ambedkar konaseema,2024,4,8099,59347516,92662424806.39494
andhra pradesh,dr br ambedkar konaseema,2025,1,8100,63092629,99967746070.24121
andhra pradesh,dr br ambedkar konaseema,2025,2,8101,68246305,103971850759.4957
andhra pradesh,dr br ambedkar konaseema,2025,3,8102,71220647,104354537734.6222
andhra pradesh,dr br ambedkar konaseema,2025,4,8103,76439495,110914188344.62686
andhra pradesh,dr br ambedkar konaseema,2026,1,8104,84156459,122361798755.09583
andhra pradesh,dr br ambedkar konaseema,2026,2,8105,90739703,131195398848.14877
andhra pradesh,east godavari,2018,1,8072,403796,537540055.7101262
andhra pradesh,east godavari,2018,2,8073,545841,972948827.3298168
andhra pradesh,east godavari,2018,3,8074,1280269,1515771349.0189233
andhra pradesh,east godavari,2018,4,8075,1288324,2061512652.0701504
andhra pradesh,east godavari,2019,1,8076,2316496,3346265804.7776837
andhra pradesh,east godavari,2019,2,8077,2411092,4709896107.042486
andhra pradesh,east godavari,2019,3,8078,3144318,5961434474.61529
andhra pradesh,east godavari,2019,4,8079,4471231,8877653947.525215
andhra pradesh,east godavari,2020,1,8080,5473053,11463950676.016478
andhra pradesh,east godavari,2020,2,8081,5930113,12822317225.815159
andhra pradesh,east godavari,2020,3,8082,8683758,20330635709.864124
andhra pradesh,east godavari,2020,4,8083,11692276,27834527669.378437
andhra pradesh,east godavari,2021,1,8084,13014709,30350610917.780228
andhra pradesh,east godavari,2021,2,8085,16306779,39180916692.92624
andhra pradesh,east godavari,2021,3,8086,20457292,47156807396.80225
andhra pradesh,east godavari,2021,4,8087,21899548,48689977216.3878
andhra pradesh,east godavari,2022,1,8088,27335566,61166335807.690704
andhra pradesh,east godavari,2022,2,8089,31897031,69959592313.04674
andhra pradesh,east godavari,2022,3,8090,36682313,77033177470.8126
andhra pradesh,east godavari,2022,4,8091,40449813,81407131208.99397
andhra pradesh,east godavari,2023,1,8092,44570126,90327650213.64429
andhra pradesh,east godavari,2023,2,8093,51141450,100026354756.84354
andhra pradesh,east godavari,2023,3,8094,58325311,106228328898.52751
andhra pradesh,east godavari,2023,4,8095,63886670,115537912555.1903
andhra pradesh,east godavari,2024,1,8096,69848775,123320536585.60558
andhra pradesh,east godavari,2024,2,8097,77598352,131714261279.67316
andhra pradesh,east godavari,2024,3,8098,85013782,133694027471.79407
andhra pradesh,east godavari,2024,4,8099,96263748,147563974036.70874
andhra pradesh,east godavari,2025,1,8100,99201321,151882716307.9392
andhra pradesh,east godavari,2025,2,8101,104245067,158591274346.53638
andhra pradesh,east godavari,2025,3,8102,111790848,160139206681.85104
andhra pradesh,east godavari,2025,4,8103,121737303,173410300681.118
andhra pradesh,east godavari,2026,1,8104,127045400,183870485589.45
andhra pradesh,east godavari,2026,2,8105,137797638,199632453172.0641
andhra pradesh,eluru,2018,1,8072,337860,443501724.3510245
andhra pradesh,eluru,2018,2,8073,476747,950758060.4977412
andhra pradesh,eluru,2018,3,8074,940519,1361355907.8797448
andhra pradesh,eluru,2018,4,8075,1009436,1843984012.8574333
andhra pradesh,eluru,2019,1,8076,1769601,2820378523.7022586
andhra pradesh,eluru,2019,2,8077,1827223,4122459567.692013
andhra pradesh,eluru,2019,3,8078,2222028,4658396699.498906
andhra pradesh,eluru,2019,4,8079,3283562,6905986360.785542
andhra pradesh,eluru,2020,1,8080,4252598,9579674946.3411
andhra pradesh,eluru,2020,2,8081,5188060,12446831287.202312
andhra pradesh,eluru,2020,3,8082,7437278,18492600213.621338
andhra pradesh,eluru,2020,4,8083,10109375,25731512766.161366
andhra pradesh,eluru,2021,1,8084,11165766,28523939372.085106
andhra pradesh,eluru,2021,2,8085,15301558,40526738110.71017
andhra pradesh,eluru,2021,3,8086,18582926,45132844178.79093
andhra pradesh,eluru,2021,4,8087,20181767,47005578251.71473
andhra pradesh,eluru,2022,1,8088,25418724,59543685231.46118
andhra pradesh,eluru,2022,2,8089,30801993,71058659721.6928
andhra pradesh,eluru,2022,3,8090,34332606,73506658995.21625
andhra pradesh,eluru,2022,4,8091,37762447,77079167833.90427
andhra pradesh,eluru,2023,1,8092,41427504,85437113246.37547
andhra pradesh,eluru,2023,2,8093,49086201,98103223277.21497
