state,year,quarter,period_id,category_raw,transactions
arunachal pradesh,2019,2,8077,P2P,148005
arunachal pradesh,2019,2,8077,Retail,235969
arunachal pradesh,2019,2,8077,Utility,3321
arunachal pradesh,2019,3,8078,P2P,187127
arunachal pradesh,2019,3,8078,Retail,246085
arunachal pradesh,2019,3,8078,Utility,22910
arunachal pradesh,2019,4,8079,P2P,248720
arunachal pradesh,2019,4,8079,Retail,245850
arunachal pradesh,2019,4,8079,Utility,76238
arunachal pradesh,2020,1,8080,P2P,282980
arunachal pradesh,2020,1,8080,Retail,284879
arunachal pradesh,2020,1,8080,Utility,128283
arunachal pradesh,2020,2,8081,P2P,340273
arunachal pradesh,2020,2,8081,Retail,407472
arunachal pradesh,2020,2,8081,Utility,224384
arunachal pradesh,2020,3,8082,P2P,475422
arunachal pradesh,2020,3,8082,Retail,466194
arunachal pradesh,2020,3,8082,Utility,218466
arunachal pradesh,2020,4,8083,P2P,611037
arunachal pradesh,2020,4,8083,Utility,284318
arunachal pradesh,2020,4,8083,Retail,498430
arunachal pradesh,2021,1,8084,P2P,717820
arunachal pradesh,2021,1,8084,Retail,268630
arunachal pradesh,2021,1,8084,Utility,525290
arunachal pradesh,2021,2,8085,Retail,357066
arunachal pradesh,2021,2,8085,Utility,749967
arunachal pradesh,2021,2,8085,P2P,1019755
arunachal pradesh,2021,3,8086,P2P,1295459
arunachal pradesh,2021,3,8086,Retail,445416
arunachal pradesh,2021,3,8086,Utility,812004
arunachal pradesh,2021,4,8087,P2P,1394700
arunachal pradesh,2021,4,8087,Retail,624665
arunachal pradesh,2021,4,8087,Utility,761738
arunachal pradesh,2022,1,8088,P2P,1814764
arunachal pradesh,2022,1,8088,Retail,974159
arunachal pradesh,2022,1,8088,Utility,854235
arunachal pradesh,2022,2,8089,P2P,2362702
arunachal pradesh,2022,2,8089,Retail,1560097
arunachal pradesh,2022,2,8089,Utility,982108
arunachal pradesh,2022,3,8090,P2P,3089113
arunachal pradesh,2022,3,8090,Retail,2127733
arunachal pradesh,2022,3,8090,Utility,1108609
arunachal pradesh,2022,4,8091,P2P,3542488
arunachal pradesh,2022,4,8091,Utility,1178436
arunachal pradesh,2022,4,8091,Retail,2753357
arunachal pradesh,2023,1,8092,P2P,3962069
arunachal pradesh,2023,1,8092,Retail,3193883
arunachal pradesh,2023,1,8092,Utility,1260713
arunachal pradesh,2023,2,8093,Retail,4518172
arunachal pradesh,2023,2,8093,Utility,1413721
arunachal pradesh,2023,2,8093,P2P,4985211
arunachal pradesh,2023,3,8094,P2P,6019719
arunachal pradesh,2023,3,8094,Retail,5692334
arunachal pradesh,2023,3,8094,Utility,1515279
arunachal pradesh,2023,4,8095,P2P,6810909
arunachal pradesh,2023,4,8095,Retail,6707771
arunachal pradesh,2023,4,8095,Utility,1565683
arunachal pradesh,2024,1,8096,P2P,7377899
arunachal pradesh,2024,1,8096,Retail,7729487
arunachal pradesh,2024,1,8096,Utility,1761139
arunachal pradesh,2024,2,8097,Retail,9939346
arunachal pradesh,2024,2,8097,Utility,1906208
arunachal pradesh,2024,2,8097,P2P,8264639
arunachal pradesh,2024,3,8098,P2P,10063903
arunachal pradesh,2024,3,8098,Retail,12397130
arunachal pradesh,2024,3,8098,Utility,2058012
arunachal pradesh,2024,4,8099,P2P,10737577
arunachal pradesh,2024,4,8099,Retail,13968413
arunachal pradesh,2024,4,8099,Utility,2084116
arunachal pradesh,2025,1,8100,P2P,10857782
arunachal pradesh,2025,1,8100,Retail,15250004
arunachal pradesh,2025,1,8100,Utility,2299656
arunachal pradesh,2025,2,8101,P2P,11005299
arunachal pradesh,2025,2,8101,Retail,17910730
arunachal pradesh,2025,2,8101,Utility,2235425
arunachal pradesh,2025,3,8102,P2P,12684279
arunachal pradesh,2025,3,8102,Retail,21332176
arunachal pradesh,2025,3,8102,Utility,2317779
arunachal pradesh,2025,4,8103,P2P,12859718
arunachal pradesh,2025,4,8103,Utility,2328499
arunachal pradesh,2025,4,8103,Retail,20914837
arunachal pradesh,2026,1,8104,P2P,12775009
arunachal pradesh,2026,1,8104,Retail,20987088
arunachal pradesh,2026,1,8104,Utility,2412789
arunachal pradesh,2026,2,8105,Retail,24690742
arunachal pradesh,2026,2,8105,Utility,2447416
