state,district,year,quarter,period_id,registered_merchants
andhra pradesh,ananthapuramu,2025,3,8102,101081
andhra pradesh,ananthapuramu,2025,4,8103,104215
andhra pradesh,ananthapuramu,2026,1,8104,106385
andhra pradesh,ananthapuramu,2026,2,8105,108540
andhra pradesh,annamayya,2018,1,8072,1
andhra pradesh,annamayya,2018,2,8073,1
andhra pradesh,annamayya,2018,3,8074,38
andhra pradesh,annamayya,2018,4,8075,476
andhra pradesh,annamayya,2019,1,8076,3012
andhra pradesh,annamayya,2019,2,8077,4534
andhra pradesh,annamayya,2019,3,8078,5818
andhra pradesh,annamayya,2019,4,8079,6950
andhra pradesh,annamayya,2020,1,8080,7802
andhra pradesh,annamayya,2020,2,8081,8528
andhra pradesh,annamayya,2020,3,8082,9701
andhra pradesh,annamayya,2020,4,8083,13907
andhra pradesh,annamayya,2021,1,8084,17801
andhra pradesh,annamayya,2021,2,8085,19545
andhra pradesh,annamayya,2021,3,8086,22478
andhra pradesh,annamayya,2021,4,8087,26258
andhra pradesh,annamayya,2022,1,8088,29137
andhra pradesh,annamayya,2022,2,8089,31360
andhra pradesh,annamayya,2022,3,8090,33489
andhra pradesh,annamayya,2022,4,8091,35246
andhra pradesh,annamayya,2023,1,8092,35413
andhra pradesh,annamayya,2023,2,8093,35537
andhra pradesh,annamayya,2023,3,8094,36014
andhra pradesh,annamayya,2023,4,8095,37096
andhra pradesh,annamayya,2024,1,8096,38811
andhra pradesh,annamayya,2024,2,8097,40020
andhra pradesh,annamayya,2024,3,8098,40991
andhra pradesh,annamayya,2024,4,8099,42166
andhra pradesh,annamayya,2025,1,8100,43233
andhra pradesh,annamayya,2025,2,8101,44251
andhra pradesh,annamayya,2025,3,8102,45148
andhra pradesh,annamayya,2025,4,8103,46820
andhra pradesh,annamayya,2026,1,8104,48188
andhra pradesh,annamayya,2026,2,8105,50051
andhra pradesh,bapatla,2018,3,8074,4
andhra pradesh,bapatla,2018,4,8075,49
andhra pradesh,bapatla,2019,1,8076,289
andhra pradesh,bapatla,2019,2,8077,1344
andhra pradesh,bapatla,2019,3,8078,2122
andhra pradesh,bapatla,2019,4,8079,3438
andhra pradesh,bapatla,2020,1,8080,4788
andhra pradesh,bapatla,2020,2,8081,5354
andhra pradesh,bapatla,2020,3,8082,6266
andhra pradesh,bapatla,2020,4,8083,10616
andhra pradesh,bapatla,2021,1,8084,14486
andhra pradesh,bapatla,2021,2,8085,16450
andhra pradesh,bapatla,2021,3,8086,19322
andhra pradesh,bapatla,2021,4,8087,22320
andhra pradesh,bapatla,2022,1,8088,24596
andhra pradesh,bapatla,2022,2,8089,27091
andhra pradesh,bapatla,2022,3,8090,29338
andhra pradesh,bapatla,2022,4,8091,32071
andhra pradesh,bapatla,2023,1,8092,33356
andhra pradesh,bapatla,2023,2,8093,34438
andhra pradesh,bapatla,2023,3,8094,36558
andhra pradesh,bapatla,2023,4,8095,38664
andhra pradesh,bapatla,2024,1,8096,41401
andhra pradesh,bapatla,2024,2,8097,43246
andhra pradesh,bapatla,2024,3,8098,44891
andhra pradesh,bapatla,2024,4,8099,46926
andhra pradesh,bapatla,2025,1,8100,48682
andhra pradesh,bapatla,2025,2,8101,50434
andhra pradesh,bapatla,2025,3,8102,52230
andhra pradesh,bapatla,2025,4,8103,54186
andhra pradesh,bapatla,2026,1,8104,56499
andhra pradesh,bapatla,2026,2,8105,59133
andhra pradesh,chittoor,2018,1,8072,4
andhra pradesh,chittoor,2018,2,8073,4
andhra pradesh,chittoor,2018,3,8074,28
andhra pradesh,chittoor,2018,4,8075,196
andhra pradesh,chittoor,2019,1,8076,2812
andhra pradesh,chittoor,2019,2,8077,4899
andhra pradesh,chittoor,2019,3,8078,6378
andhra pradesh,chittoor,2019,4,8079,7673
andhra pradesh,chittoor,2020,1,8080,8609
andhra pradesh,chittoor,2020,2,8081,9104
andhra pradesh,chittoor,2020,3,8082,10528
andhra pradesh,chittoor,2020,4,8083,14335
andhra pradesh,chittoor,2021,1,8084,16912
andhra pradesh,chittoor,2021,2,8085,18409
andhra pradesh,chittoor,2021,3,8086,20702
andhra pradesh,chittoor,2021,4,8087,24135
andhra pradesh,chittoor,2022,1,8088,26469
andhra pradesh,chittoor,2022,2,8089,28139
andhra pradesh,chittoor,2022,3,8090,30044
andhra pradesh,chittoor,2022,4,8091,31936
andhra pradesh,chittoor,2023,1,8092,32547
andhra pradesh,chittoor,2023,2,8093,33329
andhra pradesh,chittoor,2023,3,8094,34747
andhra pradesh,chittoor,2023,4,8095,36239
andhra pradesh,chittoor,2024,1,8096,38215
andhra pradesh,chittoor,2024,2,8097,39770
andhra pradesh,chittoor,2024,3,8098,41192
andhra pradesh,chittoor,2024,4,8099,42781
andhra pradesh,chittoor,2025,1,8100,44181
andhra pradesh,chittoor,2025,2,8101,45499
andhra pradesh,chittoor,2025,3,8102,46790
andhra pradesh,chittoor,2025,4,8103,48235
andhra pradesh,chittoor,2026,1,8104,49320
andhra pradesh,chittoor,2026,2,8105,50979
andhra pradesh,dr br ambedkar konaseema,2018,3,8074,8
andhra pradesh,dr br ambedkar konaseema,2018,4,8075,288
andhra pradesh,dr br ambedkar konaseema,2019,1,8076,3412
andhra pradesh,dr br ambedkar konaseema,2019,2,8077,5324
andhra pradesh,dr br ambedkar konaseema,2019,3,8078,7222
andhra pradesh,dr br ambedkar konaseema,2019,4,8079,8782
andhra pradesh,dr br ambedkar konaseema,2020,1,8080,10272
andhra pradesh,dr br ambedkar konaseema,2020,2,8081,10885
andhra pradesh,dr br ambedkar konaseema,2020,3,8082,12718
andhra pradesh,dr br ambedkar konaseema,2020,4,8083,16955
andhra pradesh,dr br ambedkar konaseema,2021,1,8084,21071
andhra pradesh,dr br ambedkar konaseema,2021,2,8085,22792
andhra pradesh,dr br ambedkar konaseema,2021,3,8086,24966
andhra pradesh,dr br ambedkar konaseema,2021,4,8087,27748
andhra pradesh,dr br ambedkar konaseema,2022,1,8088,30195
andhra pradesh,dr br ambedkar konaseema,2022,2,8089,31390
andhra pradesh,dr br ambedkar konaseema,2022,3,8090,32653
andhra pradesh,dr br ambedkar konaseema,2022,4,8091,33473
andhra pradesh,dr br ambedkar konaseema,2023,1,8092,33515
andhra pradesh,dr br ambedkar konaseema,2023,2,8093,33887
andhra pradesh,dr br ambedkar konaseema,2023,3,8094,34647
andhra pradesh,dr br ambedkar konaseema,2023,4,8095,35542
andhra pradesh,dr br ambedkar konaseema,2024,1,8096,36711
andhra pradesh,dr br ambedkar konaseema,2024,2,8097,37908
andhra pradesh,dr br ambedkar konaseema,2024,3,8098,38481
andhra pradesh,dr br ambedkar konaseema,2024,4,8099,39278
andhra pradesh,dr br ambedkar konaseema,2025,1,8100,40081
andhra pradesh,dr br ambedkar konaseema,2025,2,8101,40734
andhra pradesh,dr br ambedkar konaseema,2025,3,8102,41439
andhra pradesh,dr br ambedkar konaseema,2025,4,8103,42558
