state,district,min,max,count,internal_missing_periods
delhi,north east,8072,8105,34,0
delhi,north west,8072,8105,34,0
delhi,shahdara,8072,8105,34,0
delhi,south,8072,8105,34,0
delhi,south east,8072,8105,34,0
delhi,south west,8072,8105,34,0
delhi,west,8072,8105,34,0
goa,north goa,8072,8105,34,0
goa,south goa,8072,8105,34,0
gujarat,ahmedabad,8072,8105,34,0
gujarat,amreli,8072,8105,34,0
gujarat,anand,8072,8105,34,0
gujarat,aravalli,8072,8105,34,0
gujarat,banaskantha,8072,8105,34,0
gujarat,bharuch,8072,8105,34,0
gujarat,bhavnagar,8072,8105,34,0
gujarat,botad,8072,8105,34,0
gujarat,chhotaudepur,8072,8105,34,0
gujarat,dahod,8072,8105,34,0
gujarat,dangs,8072,8105,34,0
gujarat,devbhumi dwarka,8072,8105,34,0
gujarat,gandhinagar,8072,8105,34,0
gujarat,gir somnath,8072,8105,34,0
gujarat,jamnagar,8072,8105,34,0
gujarat,junagadh,8072,8105,34,0
gujarat,kachchh,8072,8105,34,0
gujarat,kheda,8072,8105,34,0
gujarat,mahesana,8072,8105,34,0
gujarat,mahisagar,8072,8105,34,0
gujarat,morbi,8072,8105,34,0
gujarat,narmada,8072,8105,34,0
gujarat,navsari,8072,8105,34,0
gujarat,panchmahals,8072,8105,34,0
gujarat,patan,8072,8105,34,0
gujarat,porbandar,8072,8105,34,0
gujarat,rajkot,8072,8105,34,0
gujarat,sabarkantha,8072,8105,34,0
gujarat,surat,8072,8105,34,0
gujarat,surendranagar,8072,8105,34,0
gujarat,tapi,8072,8105,34,0
gujarat,vadodara,8072,8105,34,0
gujarat,valsad,8072,8105,34,0
gujarat,vav tharad,8072,8105,34,0
haryana,ambala,8072,8105,34,0
haryana,bhiwani,8072,8105,34,0
haryana,charkhi dadri,8072,8105,34,0
haryana,faridabad,8072,8105,34,0
haryana,fatehabad,8072,8105,34,0
haryana,gurugram,8072,8105,34,0
haryana,hisar,8072,8105,34,0
haryana,jhajjar,8072,8105,34,0
haryana,jind,8072,8105,34,0
haryana,kaithal,8072,8105,34,0
haryana,karnal,8072,8105,34,0
haryana,kurukshetra,8072,8105,34,0
haryana,mahendragarh,8072,8105,34,0
haryana,nuh,8072,8105,34,0
haryana,palwal,8072,8105,34,0
haryana,panchkula,8072,8105,34,0
haryana,panipat,8072,8105,34,0
haryana,rewari,8072,8105,34,0
haryana,rohtak,8072,8105,34,0
haryana,sirsa,8072,8105,34,0
haryana,sonipat,8072,8105,34,0
haryana,yamunanagar,8072,8105,34,0
himachal pradesh,bilaspur,8072,8105,34,0
himachal pradesh,chamba,8072,8105,34,0
himachal pradesh,hamirpur,8072,8105,34,0
himachal pradesh,kangra,8072,8105,34,0
himachal pradesh,kinnaur,8072,8105,34,0
himachal pradesh,kullu,8072,8105,34,0
himachal pradesh,lahaul and spiti,8072,8105,34,0
himachal pradesh,mandi,8072,8105,34,0
himachal pradesh,shimla,8072,8105,34,0
himachal pradesh,sirmaur,8072,8105,34,0
himachal pradesh,solan,8072,8105,34,0
himachal pradesh,una,8072,8105,34,0
jammu & kashmir,anantnag,8072,8105,34,0
jammu & kashmir,bandipore,8072,8105,34,0
jammu & kashmir,baramulla,8072,8105,34,0
jammu & kashmir,budgam,8072,8105,34,0
jammu & kashmir,doda,8072,8105,34,0
jammu & kashmir,ganderbal,8072,8105,34,0
jammu & kashmir,jammu,8072,8105,34,0
jammu & kashmir,kathua,8072,8105,34,0
jammu & kashmir,kishtwar,8072,8105,34,0
jammu & kashmir,kulgam,8072,8105,34,0
jammu & kashmir,kupwara,8072,8105,34,0
jammu & kashmir,mirpur,8072,8105,34,0
jammu & kashmir,muzaffarabad,8072,8105,34,0
jammu & kashmir,poonch,8072,8105,34,0
jammu & kashmir,pulwama,8072,8105,34,0
jammu & kashmir,rajouri,8072,8105,34,0
jammu & kashmir,ramban,8072,8105,34,0
jammu & kashmir,reasi,8072,8105,34,0
jammu & kashmir,samba,8072,8105,34,0
jammu & kashmir,shopian,8072,8105,34,0
jammu & kashmir,srinagar,8072,8105,34,0
jammu & kashmir,udhampur,8072,8105,34,0
jharkhand,bokaro,8072,8105,34,0
jharkhand,chatra,8072,8105,34,0
jharkhand,deoghar,8072,8105,34,0
jharkhand,dhanbad,8072,8105,34,0
jharkhand,dumka,8072,8105,34,0
jharkhand,east singhbhum,8072,8105,34,0
jharkhand,garhwa,8072,8105,34,0
jharkhand,giridih,8072,8105,34,0
jharkhand,godda,8072,8105,34,0
jharkhand,gumla,8072,8105,34,0
jharkhand,hazaribag,8072,8105,34,0
jharkhand,jamtara,8072,8105,34,0
jharkhand,khunti,8072,8105,34,0
jharkhand,koderma,8072,8105,34,0
jharkhand,latehar,8072,8105,34,0
jharkhand,lohardaga,8072,8105,34,0
jharkhand,pakur,8072,8105,34,0
jharkhand,palamu,8072,8105,34,0
jharkhand,ramgarh,8072,8105,34,0
jharkhand,ranchi,8072,8105,34,0
jharkhand,sahibganj,8072,8105,34,0
jharkhand,seraikela kharsawan,8072,8105,34,0
jharkhand,simdega,8072,8105,34,0
jharkhand,west singhbhum,8072,8105,34,0
karnataka,bagalkote,8072,8105,34,0
karnataka,ballari,8072,8105,34,0
karnataka,belagavi,8072,8105,34,0
karnataka,bengaluru rural,8072,8105,34,0
karnataka,bengaluru south,8072,8105,34,0
karnataka,bengaluru urban,8072,8105,34,0
karnataka,bidar,8072,8105,34,0
karnataka,chamarajanagar,8072,8105,34,0
karnataka,chikkaballapur,8072,8105,34,0
karnataka,chikkamagaluru,8072,8105,34,0
karnataka,chitradurga,8072,8105,34,0
karnataka,dakshina kannada,8072,8105,34,0
karnataka,davanagere,8072,8105,34,0
karnataka,dharwad,8072,8105,34,0
karnataka,gadag,8072,8105,34,0
karnataka,hassan,8072,8105,34,0
karnataka,haveri,8072,8105,34,0
karnataka,kalaburagi,8072,8105,34,0
karnataka,kodagu,8072,8105,34,0
karnataka,kolar,8072,8105,34,0
karnataka,koppal,8072,8105,34,0
karnataka,mandya,8072,8105,34,0
karnataka,mysuru,8072,8105,34,0
karnataka,raichur,8072,8105,34,0
karnataka,shivamogga,8072,8105,34,0
karnataka,tumakuru,8072,8105,34,0
karnataka,udupi,8072,8105,34,0
karnataka,uttara kannada,8072,8105,34,0
karnataka,vijayanagara,8072,8105,34,0
karnataka,vijayapura,8072,8105,34,0
karnataka,yadgiri,8072,8105,34,0
kerala,alappuzha,8072,8105,34,0
kerala,ernakulam,8072,8105,34,0
kerala,idukki,8072,8105,34,0
kerala,kannur,8072,8105,34,0
kerala,kasargod,8072,8105,34,0
kerala,kollam,8072,8105,34,0
kerala,kottayam,8072,8105,34,0
kerala,kozhikode,8072,8105,34,0
kerala,malappuram,8072,8105,34,0
kerala,palakkad,8072,8105,34,0
kerala,pathanamthitta,8072,8105,34,0
kerala,thiruvananthapuram,8072,8105,34,0
kerala,thrissur,8072,8105,34,0
kerala,wayanad,8072,8105,34,0
ladakh,kargil,8072,8105,34,0
ladakh,leh ladakh,8072,8105,34,0
lakshadweep,lakshadweep,8072,8105,34,0
madhya pradesh,agar malwa,8072,8105,34,0
madhya pradesh,alirajpur,8072,8105,34,0
madhya pradesh,anuppur,8072,8105,34,0
madhya pradesh,ashoknagar,8072,8105,34,0
madhya pradesh,balaghat,8072,8105,34,0
madhya pradesh,barwani,8072,8105,34,0
madhya pradesh,betul,8072,8105,34,0
madhya pradesh,bhind,8072,8105,34,0
madhya pradesh,bhopal,8072,8105,34,0
madhya pradesh,burhanpur,8072,8105,34,0
madhya pradesh,chhatarpur,8072,8105,34,0
madhya pradesh,chhindwara,8072,8105,34,0
madhya pradesh,damoh,8072,8105,34,0
madhya pradesh,datia,8072,8105,34,0
madhya pradesh,dewas,8072,8105,34,0
madhya pradesh,dhar,8072,8105,34,0
madhya pradesh,dindori,8072,8105,34,0
madhya pradesh,guna,8072,8105,34,0
madhya pradesh,gwalior,8072,8105,34,0
madhya pradesh,harda,8072,8105,34,0
madhya pradesh,indore,8072,8105,34,0
madhya pradesh,jabalpur,8072,8105,34,0
madhya pradesh,jhabua,8072,8105,34,0
madhya pradesh,katni,8072,8105,34,0
madhya pradesh,khandwa,8072,8105,34,0
madhya pradesh,khargone,8072,8105,34,0
madhya pradesh,maihar,8072,8105,34,0
madhya pradesh,mandla,8072,8105,34,0
madhya pradesh,mandsaur,8072,8105,34,0
madhya pradesh,mauganj,8072,8105,34,0
madhya pradesh,morena,8072,8105,34,0
madhya pradesh,narmadapuram,8072,8105,34,0
madhya pradesh,narsinghpur,8072,8105,34,0
madhya pradesh,neemuch,8072,8105,34,0
madhya pradesh,niwari,8072,8105,34,0
madhya pradesh,pandhurna,8072,8105,34,0
madhya pradesh,panna,8072,8105,34,0
madhya pradesh,raisen,8072,8105,34,0
madhya pradesh,rajgarh,8072,8105,34,0
madhya pradesh,ratlam,8072,8105,34,0
madhya pradesh,rewa,8072,8105,34,0
madhya pradesh,sagar,8072,8105,34,0
madhya pradesh,satna,8072,8105,34,0
madhya pradesh,sehore,8072,8105,34,0
madhya pradesh,seoni,8072,8105,34,0
madhya pradesh,shahdol,8072,8105,34,0
madhya pradesh,shajapur,8072,8105,34,0
madhya pradesh,sheopur,8072,8105,34,0
madhya pradesh,shivpuri,8072,8105,34,0
madhya pradesh,sidhi,8072,8105,34,0
madhya pradesh,singrauli,8072,8105,34,0
madhya pradesh,tikamgarh,8072,8105,34,0
madhya pradesh,ujjain,8072,8105,34,0
madhya pradesh,umaria,8072,8105,34,0
madhya pradesh,vidisha,8072,8105,34,0
maharashtra,ahilyanagar,8072,8105,34,0
maharashtra,akola,8072,8105,34,0
maharashtra,amravati,8072,8105,34,0
maharashtra,beed,8072,8105,34,0
maharashtra,bhandara,8072,8105,34,0
maharashtra,buldhana,8072,8105,34,0
maharashtra,chandrapur,8072,8105,34,0
maharashtra,chhatrapati sambhaji nagar,8072,8105,34,0
maharashtra,dharashiv,8072,8105,34,0
maharashtra,dhule,8072,8105,34,0
maharashtra,gadchiroli,8072,8105,34,0
maharashtra,gondia,8072,8105,34,0
maharashtra,hingoli,8072,8105,34,0
maharashtra,jalgaon,8072,8105,34,0
maharashtra,jalna,8072,8105,34,0
maharashtra,kolhapur,8072,8105,34,0
maharashtra,latur,8072,8105,34,0
maharashtra,mumbai,8072,8105,34,0
maharashtra,mumbai suburban,8072,8105,34,0
maharashtra,nagpur,8072,8105,34,0
maharashtra,nanded,8072,8105,34,0
maharashtra,nandurbar,8072,8105,34,0
maharashtra,nashik,8072,8105,34,0
maharashtra,palghar,8072,8105,34,0
maharashtra,parbhani,8072,8105,34,0
maharashtra,pune,8072,8105,34,0
maharashtra,raigad,8072,8105,34,0
maharashtra,ratnagiri,8072,8105,34,0
maharashtra,sangli,8072,8105,34,0
maharashtra,satara,8072,8105,34,0
maharashtra,sindhudurg,8072,8105,34,0
maharashtra,solapur,8072,8105,34,0
maharashtra,thane,8072,8105,34,0
maharashtra,wardha,8072,8105,34,0
maharashtra,washim,8072,8105,34,0
maharashtra,yavatmal,8072,8105,34,0
manipur,bishnupur,8072,8105,34,0
manipur,chandel,8072,8105,34,0
manipur,churachandpur,8072,8105,34,0
manipur,imphal east,8072,8105,34,0
manipur,imphal west,8072,8105,34,0
manipur,jiribam,8072,8105,34,0
manipur,kakching,8072,8105,34,0
manipur,kamjong,8072,8105,34,0
manipur,kangpokpi,8072,8105,34,0
manipur,noney,8072,8105,34,0
manipur,pherzawl,8072,8105,34,0
manipur,senapati,8072,8105,34,0
manipur,tamenglong,8072,8105,34,0
manipur,tengnoupal,8072,8105,34,0
manipur,thoubal,8072,8105,34,0
manipur,ukhrul,8072,8105,34,0
meghalaya,east garo hills,8072,8105,34,0
meghalaya,east jaintia hills,8072,8105,34,0
meghalaya,east khasi hills,8072,8105,34,0
meghalaya,eastern west khasi hills,8072,8105,34,0
meghalaya,north garo hills,8072,8105,34,0
meghalaya,ri bhoi,8072,8105,34,0
meghalaya,south garo hills,8072,8105,34,0
meghalaya,south west garo hills,8072,8105,34,0
meghalaya,south west khasi hills,8072,8105,34,0
meghalaya,west garo hills,8072,8105,34,0
meghalaya,west jaintia hills,8072,8105,34,0
meghalaya,west khasi hills,8072,8105,34,0
mizoram,aizawl,8072,8105,34,0
mizoram,champhai,8072,8105,34,0
mizoram,hnahthial,8072,8105,34,0
mizoram,khawzawl,8072,8105,34,0
mizoram,kolasib,8072,8105,34,0
