district_key,period_id,transactions,value_inr,registered_users,registered_merchants,state,district,year,quarter,period_label,quarter_start,prior_period,prior_transactions,prior_users,prior_merchants,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,transaction_yoy,user_yoy,merchant_yoy,district_share_of_state,district_share_of_mapped_india
gujarat|chhotaudepur,8072,16114.0,17052722.04719392,7038,,gujarat,chhotaudepur,2018,1,2018-Q1,2018-01-01,,,,,1058.2550606425418,,,,,,,,,,,0.002428448626119582,0.00011511770181346172
gujarat|mahesana,8072,284920.0,259431472.1258367,98166,,gujarat,mahesana,2018,1,2018-Q1,2018-01-01,,,,,910.5414576928144,,,,,,,,,,,0.04293866095035319,0.002035455852097028
gujarat|vadodara,8072,429856.0,648444317.1725903,211924,4.0,gujarat,vadodara,2018,1,2018-Q1,2018-01-01,,,,,1508.515217125247,52981.0,107464.0,162111079.29314756,0.018874690926936073,,,,,,,0.06478113520102141,0.003070872212407062
haryana|hisar,8072,293592.0,430827117.9769757,116113,,haryana,hisar,2018,1,2018-Q1,2018-01-01,,,,,1467.434800597345,,,,,,,,,,,0.05820160467148006,0.0020974082357464226
maharashtra|dharashiv,8072,162203.0,170693712.29649994,52255,1.0,maharashtra,dharashiv,2018,1,2018-Q1,2018-01-01,,,,,1052.3462099745377,52255.0,162203.0,170693712.29649994,0.019136924696201322,,,,,,,0.01028469630620741,0.0011587710430215298
maharashtra|dhule,8072,170559.0,180279396.2281307,58356,1.0,maharashtra,dhule,2018,1,2018-Q1,2018-01-01,,,,,1056.9914002083192,58356.0,170559.0,180279396.2281307,0.01713619850572349,,,,,,,0.010814519566780081,0.0012184659366763198
maharashtra|palghar,8072,379715.0,511035987.5666824,173825,58.0,maharashtra,palghar,2018,1,2018-Q1,2018-01-01,,,,,1345.840926923304,2996.9827586206898,6546.810344827586,8810965.302873835,0.33366891989069464,,,,,,,0.02407633310056871,0.0027126671306999263
manipur|tengnoupal,8072,927.0,871824.06112156,365,,manipur,tengnoupal,2018,1,2018-Q1,2018-01-01,,,,,940.479030336095,,,,,,,,,,,0.008836313722499715,6.62244691455126e-06
mizoram|lawngtlai,8072,894.0,688422.7895808219,542,,mizoram,lawngtlai,2018,1,2018-Q1,2018-01-01,,,,,770.0478630657963,,,,,,,,,,,0.04030476533970515,6.38669637714005e-06
odisha|cuttack,8072,577413.0,449738879.819092,134317,,odisha,cuttack,2018,1,2018-Q1,2018-01-01,,,,,778.8859617277269,,,,,,,,,,,0.0819143349128513,0.0041250128805520895
odisha|khordha,8072,1178452.0,1219290797.0922651,300424,4.0,odisha,khordha,2018,1,2018-Q1,2018-01-01,,,,,1034.6546122305067,75106.0,294613.0,304822699.2730663,0.013314515484781509,,,,,,,0.16718035757199687,0.008418808857979247
punjab|faridkot,8072,37020.0,52049712.91552228,15583,,punjab,faridkot,2018,1,2018-Q1,2018-01-01,,,,,1405.9890036607856,,,,,,,,,,,0.01719804698569617,0.00026446923924130274
punjab|gurdaspur,8072,41867.0,70329070.33132258,23326,,punjab,gurdaspur,2018,1,2018-Q1,2018-01-01,,,,,1679.8211080641695,,,,,,,,,,,0.01944977399108972,0.0002990959924180341
punjab|mansa,8072,58060.0,51366047.72592395,22631,,punjab,mansa,2018,1,2018-Q1,2018-01-01,,,,,884.7062991030649,,,,,,,,,,,0.026972409724190155,0.0004147780667301469
rajasthan|alwar,8072,284916.0,347592258.1687906,93291,2.0,rajasthan,alwar,2018,1,2018-Q1,2018-01-01,,,,,1219.9815319911504,46645.5,142458.0,173796129.0843953,0.02143829522676357,,,,,,,0.030727197175888066,0.002035427276274312
rajasthan|rajsamand,8072,71329.0,109912752.70555855,30748,,rajasthan,rajsamand,2018,1,2018-Q1,2018-01-01,,,,,1540.9265895436436,,,,,,,,,,,0.007692583945299386,0.0005095712146364907
tamil nadu|nagapattinam,8072,11068.0,22759931.10530133,6886,,tamil nadu,nagapattinam,2018,1,2018-Q1,2018-01-01,,,,,2056.3725248736296,,,,,,,,,,,0.0022478158025837696,7.906930145658398e-05
