state,period_id,transactions,value_inr,registered_users,registered_merchants,year,quarter,period_label,quarter_start,retail_transactions,prior_period,prior_transactions,prior_users,prior_merchants,prior_retail,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,retail_qoq,transaction_yoy,user_yoy,merchant_yoy,state_contribution
tamil nadu,8073,7129251,15152943528.927313,3061794,58.0,2018,2,2018-Q2,2018-04-01,3673579,8072.0,4923891.0,2155558.0,48.0,2877514.0,2125.4607993079935,52789.55172413793,122918.12068965517,261257647.05047092,0.01894314248443886,0.4478896872412488,0.420418286123593,0.20833333333333326,0.27665026130194326,,,,0.03681542528638335
telangana,8073,11544276,24401325668.781406,4414688,395.0,2018,2,2018-Q2,2018-04-01,6332946,8072.0,9340974.0,3449556.0,36.0,5817357.0,2113.7164139857196,11176.425316455696,29226.01518987342,61775508.02223141,0.08947404663704434,0.23587497406587365,0.2797844128345792,9.972222222222221,0.08862942398068396,,,,0.059614597741528316
tripura,8073,262983,281717097.5101464,84393,,2018,2,2018-Q2,2018-04-01,166739,8072.0,184069.0,55908.0,,127863.0,1071.236914591994,,,,,0.42871966490826807,0.5094977462974888,,0.3040441722781415,,,,0.0013580432205415342
uttar pradesh,8073,20337966,28765798204.42304,6777728,342.0,2018,2,2018-Q2,2018-04-01,12691830,8072.0,14786466.0,4921602.0,24.0,10010877.0,1414.3891382463241,19817.918128654972,59467.73684210526,84110521.06556444,0.050459386980415855,0.37544468029074696,0.37713858211208473,13.25,0.26780400957878125,,,,0.10502517974889718
uttarakhand,8073,1963467,3023055876.683943,673206,,2018,2,2018-Q2,2018-04-01,1238396,8072.0,1451113.0,499946.0,,992270.0,1539.6519914436774,,,,,0.35307656950216826,0.3465574282022459,,0.2480433752909994,,,,0.010139336185635667
west bengal,8073,16783697,14426440347.675003,3795442,153.0,2018,2,2018-Q2,2018-04-01,8205192,8072.0,10151521.0,2576622.0,29.0,5952060.0,859.5508097932775,24806.81045751634,109697.36601307189,94290459.78872551,0.04031151049074126,0.653318453461309,0.4730301922439535,4.275862068965517,0.37854658723198353,,,,0.086670948032661
tripura,8074,446745,527779192.5187116,116340,,2018,3,2018-Q3,2018-07-01,221767,8073.0,262983.0,84393.0,,166739.0,1181.3880234109204,,,,,0.6987599958932706,0.3785503537023214,,0.33002476925014546,,,,0.0012873534428596413
uttar pradesh,8074,29327534,40693763120.75839,8443146,5805.0,2018,3,2018-Q3,2018-07-01,13655861,8073.0,20337966.0,6777728.0,342.0,12691830.0,1387.561706373212,1454.4609819121447,5052.1161068044785,7010122.845953211,0.6875399288369525,0.44200919600317956,0.24571921446242762,15.973684210526315,0.0759568163141171,,,,0.0845110787260813
uttarakhand,8074,2523526,4119317467.9760265,835826,10.0,2018,3,2018-Q3,2018-07-01,1333958,8073.0,1963467.0,673206.0,,1238396.0,1632.3657723265092,83582.6,252352.6,411931746.79760265,0.011964212647129905,0.2852398334171138,0.24156053273440814,,0.07716594691843315,,,,0.007271866241918363
west bengal,8074,54031451,38668036734.002266,4790914,387.0,2018,3,2018-Q3,2018-07-01,9636974,8073.0,16783697.0,3795442.0,153.0,8205192.0,715.6579365970066,12379.622739018088,139616.15245478036,99917407.5814012,0.08077790584427105,2.2192818423735843,0.2622809148447005,1.5294117647058822,0.17449707453524543,,,,0.15569860763422536
andaman & nicobar islands,8074,21154,67343424.71247172,15949,,2018,3,2018-Q3,2018-07-01,13138,8073.0,15062.0,12739.0,,10462.0,3183.484197431773,,,,,0.40446155888992164,0.2519821022058246,,0.25578283311030403,,,,6.0957984376440366e-05
andhra pradesh,8074,29262730,40288693498.011696,4841052,9605.0,2018,3,2018-Q3,2018-07-01,9823208,8073.0,14697368.0,3941740.0,140.0,8191674.0,1376.7920319810112,504.01374284226966,3046.614263404477,4194554.242374982,1.98407288333197,0.9910183918644482,0.228151019600481,67.60714285714286,0.19916979118065492,,,,0.08432433762654783
arunachal pradesh,8074,160327,390349037.86985934,53503,,2018,3,2018-Q3,2018-07-01,102215,8073.0,100858.0,39517.0,,69003.0,2434.705557204085,,,,,0.5896309663090682,0.3539236278057545,,0.48131240670695474,,,,0.00046200296686780537
assam,8074,2726534,4337172377.059211,900297,12.0,2018,3,2018-Q3,2018-07-01,1729859,8073.0,1996901.0,669433.0,,1336377.0,1590.7274132870564,75024.75,227211.16666666666,361431031.4216009,0.013328934784854331,0.3653826604323398,0.34486498275406197,,0.2944393685314848,,,,0.00785686002523558
