State,Period ID,Retail Transactions
Jharkhand,8074,2349945
Jharkhand,8075,3314423
Jharkhand,8076,3804061
Jharkhand,8077,5681873
Jharkhand,8078,8952523
Jharkhand,8079,7431278
Jharkhand,8080,9031137
Jharkhand,8081,8793799
Jharkhand,8082,13724440
Jharkhand,8083,20202143
Jharkhand,8084,21235684
Jharkhand,8085,22645520
Jharkhand,8086,35362822
Jharkhand,8087,46792105
Jharkhand,8088,62624486
Jharkhand,8089,79513404
Jharkhand,8090,93843062
Jharkhand,8091,112033002
Jharkhand,8092,127450739
Jharkhand,8093,157909691
Jharkhand,8094,177337898
Jharkhand,8095,211872201
Jharkhand,8096,240172406
Jharkhand,8097,290437854
Jharkhand,8098,302180456
Jharkhand,8099,339852753
Jharkhand,8100,343440347
Jharkhand,8101,394139963
Jharkhand,8102,415102736
Jharkhand,8103,441921141
Jharkhand,8104,455474383
Jharkhand,8105,498662306
Karnataka,8072,6950094
Karnataka,8073,8777546
Karnataka,8074,11393430
Karnataka,8075,22411453
Karnataka,8076,39499009
Karnataka,8077,64951290
Karnataka,8078,103434009
Karnataka,8079,136538824
Karnataka,8080,155213652
Karnataka,8081,106019637
Karnataka,8082,155688887
Karnataka,8083,232139007
Karnataka,8084,278444938
Karnataka,8085,240282738
Karnataka,8086,382783587
Karnataka,8087,428409513
Karnataka,8088,573122892
Karnataka,8089,722776073
Karnataka,8090,878792459
Karnataka,8091,973811552
Karnataka,8092,1108594530
Karnataka,8093,1254350536
Karnataka,8094,1474542255
Karnataka,8095,1599837426
Karnataka,8096,1769743226
Karnataka,8097,1944859250
Karnataka,8098,2093950803
Karnataka,8099,2233293582
Karnataka,8100,2427111761
Karnataka,8101,2452632899
Karnataka,8102,2545361507
Karnataka,8103,2703392355
Karnataka,8104,2825330293
Karnataka,8105,3033113369
Kerala,8072,1222873
Kerala,8073,1454296
Kerala,8074,1718134
Kerala,8075,2322398
Kerala,8076,2906623
Kerala,8077,3887749
Kerala,8078,4827707
Kerala,8079,5655198
Kerala,8080,7087979
Kerala,8081,7591045
Kerala,8082,10639866
Kerala,8083,16554145
Kerala,8084,17500843
Kerala,8085,16995197
Kerala,8086,26792845
Kerala,8087,35632663
Kerala,8088,49169365
Kerala,8089,57745367
Kerala,8090,72429593
Kerala,8091,81180394
Kerala,8092,85084073
Kerala,8093,90888495
Kerala,8094,100655472
Kerala,8095,108215077
Kerala,8096,109820926
Kerala,8097,120226924
Kerala,8098,131732251
Kerala,8099,143632641
Kerala,8100,153309373
Kerala,8101,150007968
Kerala,8102,165209747
Kerala,8103,177673616
Kerala,8104,180100477
Kerala,8105,191946358
Ladakh,8072,5556
Ladakh,8073,11482
Ladakh,8074,18155
Ladakh,8075,25020
Ladakh,8076,31236
Ladakh,8077,52308
Ladakh,8078,51154
Ladakh,8079,35256
Ladakh,8080,50689
Ladakh,8081,62740
Ladakh,8082,93272
Ladakh,8083,147929
Ladakh,8084,110768
Ladakh,8085,196095
Ladakh,8086,269662
Ladakh,8087,285865
Ladakh,8088,333285
Ladakh,8089,587810
Ladakh,8090,710428
Ladakh,8091,773705
Ladakh,8092,794686
Ladakh,8093,1437079
Ladakh,8094,1693969
Ladakh,8095,1624260
Ladakh,8096,1611509
Ladakh,8097,2943855
Ladakh,8098,3592229
Ladakh,8099,3075686
Ladakh,8100,2532508
Ladakh,8101,4345406
Ladakh,8102,4892557
Ladakh,8103,3470604
Ladakh,8104,3180624
Ladakh,8105,5270609
Lakshadweep,8072,548
Lakshadweep,8073,1202
Lakshadweep,8074,1481
Lakshadweep,8075,1800
Lakshadweep,8076,2458
Lakshadweep,8077,3217
Lakshadweep,8078,2520
Lakshadweep,8079,2626
Lakshadweep,8080,4060
Lakshadweep,8081,6329
Lakshadweep,8082,7289
Lakshadweep,8083,7929
Lakshadweep,8084,3956
Lakshadweep,8085,3416
Lakshadweep,8086,4919
Lakshadweep,8087,5279
Lakshadweep,8088,6831
Lakshadweep,8089,7795
Lakshadweep,8090,8822
Lakshadweep,8091,8933
Lakshadweep,8092,11319
Lakshadweep,8093,15989
Lakshadweep,8094,22701
Lakshadweep,8095,46222
Lakshadweep,8096,65567
Lakshadweep,8097,103328
Lakshadweep,8098,119755
Lakshadweep,8099,151047
Lakshadweep,8100,186433
Lakshadweep,8101,197029
Lakshadweep,8102,210108
Lakshadweep,8103,219710
Lakshadweep,8104,229831
Lakshadweep,8105,248709
Madhya Pradesh,8072,5540953
Madhya Pradesh,8073,6493926
Madhya Pradesh,8074,7152252
Madhya Pradesh,8075,10163524
Madhya Pradesh,8076,13270690
Madhya Pradesh,8077,19025755
Madhya Pradesh,8078,29189777
Madhya Pradesh,8079,31573884
Madhya Pradesh,8080,36937883
Madhya Pradesh,8081,28763727
Madhya Pradesh,8082,44812503
Madhya Pradesh,8083,67928541
Madhya Pradesh,8084,79551215
Madhya Pradesh,8085,68475966
Madhya Pradesh,8086,124505570
Madhya Pradesh,8087,154372079
Madhya Pradesh,8088,208119201
Madhya Pradesh,8089,254146400
Madhya Pradesh,8090,298169767
Madhya Pradesh,8091,346579011
Madhya Pradesh,8092,395551751
Madhya Pradesh,8093,468684552
Madhya Pradesh,8094,555828663
Madhya Pradesh,8095,636732492
Madhya Pradesh,8096,747491424
Madhya Pradesh,8097,859901226
