state,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
tripura,2023,3,8094,2023-Q3,9631541,15862091659.47,768145,32375.0,1646.890322064766,4214.699047705837,23.726486486486486,12.538701677417675,20649.866443796418,297.49933590733593,8093.0,8518239.0,14533054884.91,731619.0,28521.0,0.13069626245518595,0.09144923659099158,0.049924892601203696,0.13512850180568714,0.6565399986103113
tripura,2023,4,8095,2023-Q4,10707618,17538263497.05,809084,35430.0,1637.9239058630967,4379.026157976181,22.83612757550099,13.234247618294269,21676.69055011593,302.218966977138,8094.0,9631541.0,15862091659.47,768145.0,32375.0,0.11172428171151427,0.10567155161906339,0.05329592720124454,0.09436293436293441,0.6833828713298098
tripura,2024,1,8096,2024-Q1,11581499,18535441026.61,858086,37140.0,1600.4354036217592,4328.237496008559,23.104092622509423,13.496897746845887,21600.91299311491,311.8335756596661,8095.0,10707618.0,17538263497.05,809084.0,35430.0,0.08161301607883287,0.05685725555028465,0.06056478684537092,0.04826418289585099,0.5309372551627085
tripura,2024,2,8097,2024-Q2,13492767,18847582110.32,910150,38797.0,1396.865602905616,4262.703949898369,23.459288089285256,14.824772839641817,20708.215250585068,347.7786169033688,8096.0,11581499.0,18535441026.61,858086.0,37140.0,0.1650276876939678,0.016840229658516392,0.060674571080288064,0.04461497038233708,0.5839854927761476
tripura,2024,3,8098,2024-Q3,14575406,20044092205.04,958718,40877.0,1375.1995796919825,4263.7146689641795,23.453727034762824,15.20301694554603,20907.182513564992,356.5674095457103,8097.0,13492767.0,18847582110.32,910150.0,38797.0,0.08023847147141883,0.06348347961645717,0.05336263253309892,0.05361239271077656,0.5132994813602516
tripura,2024,4,8099,2024-Q4,16034582,22499864071.52,995320,43371.0,1403.2086443862397,4357.493067556163,22.94897512162505,16.109976690913474,22605.658553550616,369.70745428973277,8098.0,14575406.0,20044092205.04,958718.0,40877.0,0.10011220270639454,0.12251848780971519,0.038178066960253165,0.061012305208307804,0.49749290645221
tripura,2025,1,8100,2025-Q1,18622077,25016887005.83,1032353,45840.0,1343.3993966317507,4440.341627330961,22.52078970331588,18.038478117465633,24232.88061915837,406.2407722513089,8099.0,16034582.0,22499864071.52,995320.0,43371.0,0.16136965715726181,0.11186836179583914,0.037207129365430136,0.05692743999446637,0.6079159528485907
tripura,2025,2,8101,2025-Q2,18753226,23151519446.56,1069043,47515.0,1234.5352979034114,4444.629448955749,22.499063453646215,17.542068934551743,21656.303297959017,394.6801220667158,8100.0,18622077.0,25016887005.83,1032353.0,45840.0,0.007042662319568294,-0.0745643356359762,0.03554016891509004,0.036540139616055844,0.3898725146591504
tripura,2025,3,8102,2025-Q3,20791893,25461605416.51,1109299,49397.0,1224.5929418985563,4452.992385281155,22.456809117962628,18.74327210247192,22952.878724771228,420.914083851246,8101.0,18753226.0,23151519446.56,1069043.0,47515.0,0.1087102027139224,0.09978118176140893,0.037656109249113445,0.03960854467010422,0.42650523765855985
tripura,2025,4,8103,2025-Q4,20913736,25744145782.64,1151875,51531.0,1230.96828718886,4473.66250678242,22.353049620616716,18.156254801953338,22349.773875325012,405.84766451262345,8102.0,20791893.0,25461605416.51,1109299.0,49397.0,0.005860120576803629,0.011096722359337008,0.038380995565667986,0.0432010041095614,0.3042894414085755
tripura,2026,1,8104,2026-Q1,22097250,27676418661.49,1191907,52868.0,1252.482488159839,4435.580963951046,22.544961035030642,18.539407856485447,23220.28368110096,417.97022773700536,8103.0,20913736.0,25744145782.64,1151875.0,51531.0,0.05659027158036234,0.07505678747954381,0.03475377102550192,0.02594554734043575,0.18661575720044543
tripura,2026,2,8105,2026-Q2,22862994,26743110330.74,1242083,55157.0,1169.7116454100458,4440.685525846501,22.519045633373825,18.40697763353979,21530.856094753733,414.5075693021738,8104.0,22097250.0,27676418661.49,1191907.0,52868.0,0.03465336184366841,-0.033722149609213714,0.04209724416418403,0.043296512067791504,0.21914992119222587
uttar pradesh,2018,1,8072,2018-Q1,14786466,15841767520.71,4921602,24.0,1071.3694212471053,0.48764609572249035,205066.75,3.0044010060138953,3218.8233670073278,616102.75,,,,,,,,,,
uttar pradesh,2018,2,8073,2018-Q2,20337966,28765798204.42,6777728,342.0,1414.3891382461745,5.045938698041586,19817.918128654972,3.0007055461653227,4244.165331571287,59467.73684210526,8072.0,14786466.0,15841767520.71,4921602.0,24.0,0.37544468029074696,0.8158199940009452,0.37713858211208473,13.25,
uttar pradesh,2018,3,8074,2018-Q3,29327534,40693763120.76,8443146,5805.0,1387.5617063732668,68.75399288369525,1454.4609819121447,3.473531548548373,4819.739362645157,5052.1161068044785,8073.0,20337966.0,28765798204.42,6777728.0,342.0,0.44200919600317956,0.41465788056968345,0.24571921446242762,15.973684210526315,
uttar pradesh,2018,4,8075,2018-Q4,40312896,60754036465.71,10830097,44207.0,1507.0620693117655,408.18655640849755,244.98602031352502,3.7223023948908307,5609.740749848316,911.9120501278078,8074.0,29327534.0,40693763120.76,8443146.0,5805.0,0.3745750324592583,0.4929569498259603,0.28270872018558,6.615331610680448,
uttar pradesh,2019,1,8076,2019-Q1,64046373,84430169656.88,13103108,234825.0,1318.2662140271395,1792.1320651558394,55.799459171723626,4.88787644885473,6443.522380864143,272.74086234429893,8075.0,40312896.0,60754036465.71,10830097.0,44207.0,0.5887316306920742,0.38970469401704655,0.20987909895913215,4.311941547718687,3.331418541793556
uttar pradesh,2019,2,8077,2019-Q2,67580108,110293020020.75,15042257,480618.0,1632.0337934462905,3195.118923975305,31.29773957696133,4.492684043358653,7332.212182038241,140.61085519060876,8076.0,64046373.0,84430169656.88,13103108.0,234825.0,0.055174631044290434,0.3063223782325124,0.1479915299484671,1.0467071223251359,2.3228548026877416
uttar pradesh,2019,3,8078,2019-Q3,76672707,123828842522.57,16953678,671645.0,1615.0315720895312,3961.6477321322254,25.24202219922727,4.522482201207313,7303.951539162771,114.15659611848521,8077.0,67580108.0,110293020020.75,15042257.0,480618.0,0.13454549377162883,0.12272601202935096,0.12707009327124252,0.39746118539047637,1.6143591547792595
uttar pradesh,2019,4,8079,2019-Q4,97385189,162877433940.0,18919521,828695.0,1672.5072427594714,4380.105606267727,22.830499761673476,5.147339036754683,8608.961819910768,117.51632265188037,8078.0,76672707.0,123828842522.57,16953678.0,671645.0,0.270141525067062,0.3153432643151186,0.1159537771096042,0.23382888281755987,1.4157328959943736
uttar pradesh,2020,1,8080,2020-Q1,108112889,190863464183.67,21194763,979673.0,1765.4089715766454,4622.2408809194985,21.63452805170705,5.100924648225602,9005.218137313921,110.35609739168069,8079.0,97385189.0,162877433940.0,18919521.0,828695.0,0.11015740802228158,0.17182263722290325,0.12025896427293281,0.18218765649605695,0.6880407732066265
uttar pradesh,2020,2,8081,2020-Q2,110306561,195404454299.57,23606047,1043964.0,1771.4671958594558,4422.443113834349,22.611935852194136,4.672809513596241,8277.72876583572,105.66126897096069,8080.0,108112889.0,190863464183.67,21194763.0,979673.0,0.02029056868510848,0.023791824880272205,0.11376791521565965,0.06562495853208161,0.632234162750968
uttar pradesh,2020,3,8082,2020-Q3,141565257,273741446015.28,26045233,1242714.0,1933.6767496228258,4771.368334466426,20.958348421277943,5.435361511260045,10510.232180118335,113.91620034859187,8081.0,110306561.0,195404454299.57,23606047.0,1043964.0,0.2833802061873727,0.40089665302927724,0.10332886315103917,0.1903801280503925,0.8463578832556413
