state,district,year,quarter,period_id,district_key,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
tripura,unakoti,2022,2,8089,tripura|unakoti,2022-Q2,274226.0,556860769.29,39142,449.0,2030.663647101296,1147.1054110673956,87.17594654788418,7.005927137090593,14226.681551530324,610.7483296213809,8088.0,247434.0,510698244.78,36981.0,342.0,0.10827937955171874,0.09039099895455105,0.058435412779535456,0.3128654970760234,0.8832004504968514
tripura,unakoti,2022,3,8090,tripura|unakoti,2022-Q3,330453.0,679154407.69,41609,738.0,2055.2223998269046,1773.6547381576102,56.38075880758807,7.941863539138168,16322.295842005336,447.7682926829268,8089.0,274226.0,556860769.29,39142.0,449.0,0.20503890951259174,0.21961259464538152,0.06302692759695461,0.6436525612472159,0.9058475451153187
tripura,unakoti,2022,4,8091,tripura|unakoti,2022-Q4,389288.0,759339622.61,43979,1007.0,1950.585742714905,2289.729188931081,43.67328699106256,8.8516792105323,17265.959267150232,386.5819265143992,8090.0,330453.0,679154407.69,41609.0,738.0,0.17804347365586026,0.11806625122662906,0.056958831022134726,0.3644986449864498,1.1131460954717678
tripura,unakoti,2023,1,8092,tripura|unakoti,2023-Q1,478096.0,897506803.63,46248,1252.0,1877.2522749196814,2707.144092717523,36.93929712460064,10.337657844663553,19406.391706235947,381.86581469648564,8091.0,389288.0,759339622.61,43979.0,1007.0,0.22812930272702991,0.1819570280622156,0.051592805657245444,0.24329692154915583,0.9322162677724162
tripura,unakoti,2023,2,8093,tripura|unakoti,2023-Q2,555845.0,953804401.52,48816,1480.0,1715.9539107485,3031.7928548017044,32.983783783783785,11.38653310390036,19538.76600950508,375.57094594594594,8092.0,478096.0,897506803.63,46248.0,1252.0,0.16262215119975898,0.0627266530596784,0.05552672548002069,0.1821086261980831,1.0269595151444428
tripura,unakoti,2023,3,8094,tripura|unakoti,2023-Q3,618048.0,1052580196.38,51651,1828.0,1703.0719238311588,3539.1376740043756,28.255470459518598,11.965847708660045,20378.699277458327,338.10065645514226,8093.0,555845.0,953804401.52,48816.0,1480.0,0.11190709640277419,0.10355980188662284,0.05807522123893816,0.23513513513513518,0.8703053081678787
tripura,unakoti,2023,4,8095,tripura|unakoti,2023-Q4,695246.0,1120391434.83,55045,2083.0,1611.5036042350475,3784.1765827958943,26.4258281325012,12.630502316286675,20354.100005995093,333.77148343734996,8094.0,618048.0,1052580196.38,51651.0,1828.0,0.12490615615615619,0.06442382127576995,0.065710247623473,0.13949671772428873,0.7859425412548036
tripura,unakoti,2024,1,8096,tripura|unakoti,2024-Q1,764173.0,1159688069.33,58899,2199.0,1517.5726822722079,3733.509906789589,26.78444747612551,12.974294979541249,19689.435632693254,347.5093224192815,8095.0,695246.0,1120391434.83,55045.0,2083.0,0.09914044812915135,0.035074022594578924,0.0700154419111636,0.05568891022563616,0.5983672735182892
tripura,unakoti,2024,2,8097,tripura|unakoti,2024-Q2,913547.0,1150766820.32,62962,2289.0,1259.668982898526,3635.5261904005592,27.506334643949323,14.509497792319177,18277.164326419108,399.10310179117516,8096.0,764173.0,1159688069.33,58899.0,2199.0,0.19547144429337338,-0.0076928005434721,0.06898249545832691,0.04092769440654842,0.6435283217443712
tripura,unakoti,2024,3,8098,tripura|unakoti,2024-Q3,999990.0,1265167826.57,66900,2340.0,1265.1804783747837,3497.7578475336322,28.58974358974359,14.947533632286996,18911.327751420027,427.34615384615387,8097.0,913547.0,1150766820.32,62962.0,2289.0,0.09462348406814325,0.099412847355286,0.06254566246307292,0.022280471821756187,0.6179811276794036
