state,district,district_key,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy,positive_yoy_quarters_last4,average_yoy_last4,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,opportunity_percentile,business_segment,opportunity_rank,equal_weight_rank,no_intensity_rank
telangana,nirmal,telangana|nirmal,2026,2,8105,2026-Q2,35201110,59291923176.46,404313,23502,1684.37652,5812.82323,17.20334,87.06401,146648.569738,1497.7921,8104,30790719,51560020364.13,400480,22773,0.14324,0.1499593,0.00957,0.03201,0.34903,4.0,0.321555,0.9513991163475699,0.9204712812960235,0.6421207658321061,0.24889543446244478,72.58468335787923,69.0721649484536,66.75257731958763,0.9293078055964654,EXPAND,49,70,80
gujarat,devbhumi dwarka,gujarat|devbhumi dwarka,2026,2,8105,2026-Q2,4455573,5423263634.89,239469,12813,1217.186574,5350.58818,18.68953,18.60605,22647.038384,347.73847,8104,4088437,5297142517.16,236076,12644,0.0898,0.0238093,0.01437,0.01337,0.35209,4.0,0.340365,0.9543446244477173,0.12665684830633284,0.7363770250368189,0.11192930780559647,52.444771723122244,48.23269513991164,66.74521354933727,0.5861561119293078,DEVELOP,282,351,81
maharashtra,kolhapur,maharashtra|kolhapur,2026,2,8105,2026-Q2,86408217,97444712001.93,2174003,121947,1127.725063,5609.32989,17.82744,39.74614,44822.712757,708.5719,8104,82052254,92283407288.89,2148138,118764,0.05309,0.0559288,0.01204,0.0268,0.24974,4.0,0.234955,0.49189985272459497,0.5390279823269514,0.6863033873343152,0.9160530191458026,63.71134020618556,65.8321060382916,66.59793814432989,0.8100147275405007,EXPAND,130,100,82
andhra pradesh,palnadu,andhra pradesh|palnadu,2026,2,8105,2026-Q2,99141013,154004558094.93,1145432,76084,1553.38899,6642.38471,15.05483,86.55338,134451.070072,1303.0468,8104,92520235,144216835925.43,1125032,73145,0.07156,0.0678681,0.01813,0.04018,0.30388,4.0,0.276675,0.8026509572901326,0.8748159057437408,0.46244477172312226,0.7319587628865979,72.15022091310752,71.79675994108983,66.59057437407954,0.9234167893961709,DEVELOP,53,51,83
telangana,jagtial,telangana|jagtial,2026,2,8105,2026-Q2,48888034,86097905647.65,584597,36289,1761.12432,6207.52416,16.10948,83.6269,147277.36483,1347.18603,8104,42551448,75726520927.86,580124,35492,0.14892,0.1369584,0.00771,0.02246,0.33988,4.0,0.304435,0.930780559646539,0.8895434462444771,0.5522827687776142,0.39911634756995584,71.95139911634757,69.29307805596466,66.53902798232694,0.9219440353460973,EXPAND,54,68,84
assam,hojai,assam|hojai,2026,2,8105,2026-Q2,19368667,18498314601.67,442831,27188,955.063898,6139.58824,16.28774,43.73828,41772.853756,712.39764,8104,17445237,18028579994.18,433271,26028,0.11026,0.026055,0.02206,0.04457,0.41102,4.0,0.46157,0.9867452135493373,0.5463917525773195,0.5640648011782032,0.2916053019145803,63.19587628865979,59.720176730485996,66.5022091310751,0.801178203240059,EXPAND,136,171,85
madhya pradesh,ratlam,madhya pradesh|ratlam,2026,2,8105,2026-Q2,45486079,55691329826.36,852323,46531,1224.359871,5459.31531,18.31732,53.36718,65340.639436,977.54355,8104,43823487,53101602339.91,827329,45281,0.03794,0.0487693,0.03021,0.02761,0.27338,4.0,0.2989925,0.658321060382916,0.7393225331369662,0.7201767304860088,0.5979381443298969,68.19587628865979,67.8939617083947,66.48748159057438,0.8777614138438881,EXPAND,84,84,86
karnataka,chamarajanagar,karnataka|chamarajanagar,2026,2,8105,2026-Q2,26827517,38087786669.39,429301,17204,1419.728358,4007.44466,24.95356,62.49116,88720.470414,1559.37671,8104,24561631,35824991935.5,417414,16738,0.09225,0.0631625,0.02848,0.02784,0.27975,4.0,0.22437,0.6892488954344624,0.9396170839469808,0.9160530191458026,0.27393225331369664,72.54786450662739,70.47128129602356,66.480117820324,0.9278350515463918,EXPAND,50,62,87
jharkhand,godda,jharkhand|godda,2026,2,8105,2026-Q2,20667004,22357295683.19,458276,25126,1081.786972,5482.7222,18.23911,45.09729,48785.65686,822.53459,8104,19239456,21973594168.46,444628,24362,0.0742,0.0174619,0.0307,0.03136,0.31415,4.0,0.38204,0.8409425625920471,0.6421207658321061,0.7157584683357879,0.3078055964653903,65.33136966126656,62.66568483063328,66.38438880706923,0.8394698085419735,EXPAND,110,139,88
uttar pradesh,gorakhpur,uttar pradesh|gorakhpur,2026,2,8105,2026-Q2,84223276,95476560476.64,2244276,168785,1133.612524,7520.68819,13.29666,37.52804,42542.254374,498.9974,8104,73662205,87991446625.25,2208323,166105,0.14337,0.0850664,0.01628,0.01613,0.31041,4.0,0.2870425,0.8217967599410898,0.29455081001472755,0.29896907216494845,0.9204712812960235,57.90132547864506,58.39469808541974,66.34756995581738,0.7083946980854198,DEFEND,199,186,89
punjab,kapurthala,punjab|kapurthala,2026,2,8105,2026-Q2,10609846,11348650293.75,364471,22011,1069.633838,6039.16361,16.55858,29.11026,31137.320373,482.02471,8104,10119263,10606464529.51,361259,21747,0.04848,0.0699748,0.00889,0.01214,0.43308,4.0,0.237545,0.9941089837997055,0.26804123711340205,0.593519882179676,0.2268041237113402,55.89837997054492,52.0618556701031,66.20765832106039,0.6745213549337261,DEVELOP,222,287,90
